domain,soa_rname,caa_iodef,dmarc_rua,dmarc_ruf,security_at_status,abuse_at_status,catch_all,mx_count
admanage.ai,dns@cloudflare.com,,dmarc@admanage.ai,dmarc@admanage.ai,rejected,accepted,False,5
adologyai.com,awsdns-hostmaster@amazon.com,,dmarc@adologyai.com; re+yc0wq4mgbx5@dmarc.postmarkapp.com,,accepted(catch-all),accepted(catch-all),True,1
adomik.com,awsdns-hostmaster@amazon.com,,dmarc-reports@adomik.com,,accepted,accepted,False,7
adopt.ai,dns@jomax.net,,,,accepted,accepted,False,2
adp.com,hostmaster@adp.com,,dmarc_rua@emaildefense.proofpoint.com,dmarc_ruf@emaildefense.proofpoint.com,accepted(catch-all),accepted(catch-all),True,2
adplenty.io,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,5
adplist.org,dns@cloudflare.com,,admin@adplist.org,,rejected,accepted,False,5
adscale.com,dns@cloudflare.com,,,,accepted(catch-all),accepted(catch-all),True,5
adthena.com,ipadmin@stabletransit.com,,,,rejected,accepted,False,5
advally.com,dns@cloudflare.com,,c6d264f8d87b4519866fab9ef4c6203a@dmarc-reports.cloudflare.net; doug@advally.com,,rejected,accepted,False,5
adverteyes.ai,awsdns-hostmaster@amazon.com,,3052e5e6@mxtoolbox.dmarc-report.com; dmarc_rua@onsecureserver.net,3052e5e6@forensics.dmarc-report.com,rejected,rejected,False,1
adzen.ai,azuredns-hostmaster@microsoft.com,,,,accepted(catch-all),accepted(catch-all),True,1
aeroventures.com,dns@cloudflare.com,,dmarc-reports@aeroventures.com,,rejected,rejected,False,1
affinity.co,awsdns-hostmaster@amazon.com,infra@affinity.co,bfdcfbfd3a70138@rep.dmarcanalyzer.com,bfdcfbfd3a70138@for.dmarcanalyzer.com,accepted(catch-all),accepted(catch-all),True,4
agency.inc,awsdns-hostmaster@amazon.com,,services@agency.inc,services@agency.inc,rejected,accepted,False,1
agent.ai,dns@cloudflare.com,,e1b40fc5@dmarc.mailgun.org; 7e1605e8@inbox.ondmarc.com; e250859df1be49c5919bffed11b9b09c@dmarc-reports.cloudflare.net,e1b40fc5@dmarc.mailgun.org; 7e1605e8@inbox.ondmarc.com,accepted(catch-all),accepted(catch-all),True,2
agenticflow.ai,dns@cloudflare.com,,,,rejected,rejected,False,3
agentmail.to,awsdns-hostmaster@amazon.com,,dmarc@agentmail.to,,accepted(catch-all),accepted(catch-all),True,1
agrexai.com,dns@cloudflare.com,,admin@agrexai.com,,rejected,accepted,False,5
agrisafe.agr.br,awsdns-hostmaster@amazon.com,,renatotak@gmail.com,,rejected,rejected,False,1
ahaslides.com,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,6
aheadcomputing.com,support@wix.com,,dmarc_agg@vali.email,,rejected,rejected,False,1
aibox.ai,awsdns-hostmaster@amazon.com,,re+pvozaucf8s9@dmarc.postmarkapp.com,,accepted(catch-all),accepted(catch-all),True,1
aico.swiss,hostmaster@hostpoint.ch,,,,rejected,rejected,False,1
aimfox.com,dns@cloudflare.com,,,,rejected,accepted,False,5
airbridge.io,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,5
airframe.ai,dns@cloudflare.com,,dmarc-reports@airframe.ai,,rejected,accepted,False,5
airpay.co.in,dns@dnsmadeeasy.com,,dmarc.alert@airpay.co.in,,temp-fail,temp-fail,False,2
airsaas.io,dns@cloudflare.com,,ipm4g29@ar.glockapps.com,ipm4g29@fr.glockapps.com,accepted,accepted,False,5
aiseo.ai,dns@cloudflare.com,,,,rejected,accepted,False,1
aivideo.com,dns@jomax.net,,dmarc@aivideo.com,,rejected,accepted,False,5
akiflow.com,dns@cloudflare.com,,2638158f@mxtoolbox.dmarc-report.com; re+b5t9nomc4in@dmarc.postmarkapp.com,2638158f@forensics.dmarc-report.com; developers@akiflow.com,rejected,accepted,False,5
alamah.om,admins@siteground.com,,,,rejected,accepted,False,5
alchemy.com,dns@cloudflare.com,certmaster@alchemy.com,re+t2bmfwurvax@dmarc.postmarkapp.com,,accepted(catch-all),accepted(catch-all),True,5
alegra.com,awsdns-hostmaster@amazon.com,,ipm33zs@ar.glockapps.com,ipm33zs@fr.glockapps.com,rejected,accepted,False,5
aleluya.com,dns@cloudflare.com,,,,rejected,accepted,False,5
alex.com,dns@cloudflare.com,,dmarc_aggregate_analyser+cd4ebabc72e7330a9980713faf18c5fc@zerobounce.net,dmarc_forensics_analyser+cd4ebabc72e7330a9980713faf18c5fc@zerobounce.net,accepted(catch-all),accepted(catch-all),True,5
algoed.co,dns@cloudflare.com,,my_dmarc_report@algoed.co,,accepted(catch-all),accepted(catch-all),True,5
algolia.com,dns@cloudflare.com,,algolia-t@dmarc.report-uri.com,dmarc-ruf@algolia.com,accepted,accepted,False,5
allbridge.io,dns@cloudflare.com,,,,accepted(catch-all),accepted(catch-all),True,5
allears.ai,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,5
allegrow.co,hostmaster@registrar-servers.com,,info@allegrow.co,,accepted(catch-all),accepted(catch-all),True,5
allianceabroad.com,dns@jomax.net,,65f30d82d54ac@ag.dmarcly.com,65f30d82d54ac@fo.dmarcly.com,rejected,rejected,False,1
allocate.co,awsdns-hostmaster@amazon.com,,yoax4mf8@ag.us.dmarcian.com,yoax4mf8@fr.us.dmarcian.com,accepted,accepted,False,5
alloy.app,awsdns-hostmaster@amazon.com,,re+2022d0e9bd24@inbound.dmarcdigests.com,,accepted,accepted,False,1
allunite.com,awsdns-hostmaster@amazon.com,,,,accepted(catch-all),accepted(catch-all),True,5
alma.food,dns@cloudflare.com,,dmarc@alma.food,,rejected,accepted,False,1
alphavantage.co,dns@cloudflare.com,,,,rejected,accepted,False,5
alpic.ai,awsdns-hostmaster@amazon.com,,dmarc@alpic.ai,,accepted(catch-all),accepted(catch-all),True,1
alterdomus.com,hostmaster@eurodns.com,,64770389b0c3329@rep.dmarcanalyzer.com,64770389b0c3329@for.dmarcanalyzer.com,rejected,rejected,False,2
altfndata.com,hostmaster@registrar-servers.com,,info@altfndata.com,,rejected,accepted,False,5
altuspower.com,dns@cloudflare.com,,dmarc-feedback@altuspower.com,,accepted,accepted,False,1
amalgamrx.com,awsdns-hostmaster@amazon.com,,re+61d8100e111f@inbound.dmarcdigests.com; dmarc+amalgamrx.com@inbound.axl.net,,accepted(catch-all),accepted(catch-all),True,5
amass.tech,dns@cloudflare.com,,,,rejected,accepted,False,5
ambarpartners.com,awsdns-hostmaster@amazon.com,,dmarc@ambarpartners.com,,accepted,rejected,False,1
amityage.com,admin@websupport.sk,,dmarcreports@amityage.com,,accepted(catch-all),accepted(catch-all),True,1
ammp.io,awsdns-hostmaster@amazon.com,,dmarcreports@lovable.dev,,accepted,rejected,False,1
amove.io,awsdns-hostmaster@amazon.com,,dmarc_agg@vali.email,dmarc_forensic@vali.email,accepted(catch-all),accepted(catch-all),True,5
amperity.com,awsdns-hostmaster@amazon.com,,60805310403ca@ag.dmarcly.com,60805310403ca@fo.dmarcly.com,accepted(catch-all),accepted(catch-all),True,5
amplifier.com,awsdns-hostmaster@amazon.com,,,,accepted,accepted,False,7
amt.ai,hostmaster@registrar-servers.com,,tom@amt.ai; tom@amt.ai,,rejected,accepted,False,1
and.com,dns@cloudflare.com,,dmarc@and.com,,rejected,accepted,False,1
andcapitalventures.com,dns@cloudflare.com,,chris@andcapitalventures.com,,rejected,rejected,False,3
ando.so,dns@cloudflare.com,,hello@ando.so,,rejected,accepted,False,5
aneon.at,dns@cloudflare.com,,ba38fdf2e04549a19e5f3167c2a8223c@dmarc-reports.cloudflare.net; dmarc-info@aneon.at,,accepted,rejected,False,1
animaj.com,tech@ovh.net,,35cc7835@inbox.ondmarc.com,35cc7835@inbox.ondmarc.com,accepted,accepted,False,5
anomalycapital.com,hostmaster@nsone.net,,webmaster@anomalycapital.com,webmaster@anomalycapital.com,mx-unreachable,mx-unreachable,None,2
antbuddy.com,hostmaster@registrar-servers.com,,,,rejected,accepted,False,5
antimetal.com,hostmaster@registrar-servers.com,,dmarc@antimetal.com,dmarc@antimetal.com,accepted,accepted,False,5
antler.co,dns@jomax.net,,dmarc@antler.co,dmarc@antler.co,rejected,accepted,False,5
apaleo.com,awsdns-hostmaster@amazon.com,,,,accepted,rejected,False,1
aparti.ai,dns@cloudflare.com,,04e6e98171ac41d78ebf777c062818eb@dmarc-reports.cloudflare.net,,accepted,accepted,False,1
aperture.london,dns@cloudflare.com,,,,rejected,accepted,False,5
apono.io,awsdns-hostmaster@amazon.com,,dmarc@apono.io,,accepted,accepted,False,5
appflow.ai,dns@cloudflare.com,,bryan@appflow.ai,,accepted(catch-all),accepted(catch-all),True,5
applypass.com,dns@jomax.net,,,,rejected,accepted,False,6
apter.com.br,hostmaster@dreamhost.com,,dmarc@apter.com.br,dmarc@apter.com.br,rejected,rejected,False,1
aqmen.ai,dns@jomax.net,,miguel@aqmen.ai,miguel@aqmen.ai,accepted(catch-all),accepted(catch-all),True,5
aquion.com.au,dns@cloudflare.com,,9fedd177736d46929c30dbc9fa3672ec@dmarc-reports.cloudflare.net,,rejected,rejected,False,1
arcade.software,dns@cloudflare.com,,464fc710905642eeae5fcc7aadc94f2c@dmarc-reports.cloudflare.net,,accepted(catch-all),accepted(catch-all),True,5
archera.ai,awsdns-hostmaster@amazon.com,,nikhil@archera.ai,nikhil@archera.ai,rejected,accepted,False,5
archilogic.com,awsdns-hostmaster@amazon.com,,637b4ae1e7671@ag.dmarcly.com,637b4ae1e7671@fo.dmarcly.com,accepted,accepted,False,7
arcwise.app,dns@cloudflare.com,,eade419fa035429d9b33444d754efaab@dmarc-reports.cloudflare.net; re+mo0deibq8vk@dmarc.postmarkapp.com,,accepted(catch-all),accepted(catch-all),True,5
are.na,dns@cloudflare.com,,0ef335b928764523844f34039479bef3@dmarc-reports.cloudflare.net,cab@are.na,accepted,accepted,False,5
arena.com.tr,administrator@arena.com.tr,,,,mx-unreachable,mx-unreachable,None,1
aries.com,dns@cloudflare.com,,17dd670e90ab40068cc74a9d45724320@dmarc-reports.cloudflare.net,,accepted,accepted,False,5
aris.in,dns@jomax.net,,postmaster@aris.in; dmarc@aris.in,,rejected,accepted,False,1
armature.tech,dns@cloudflare.com,,,,accepted(catch-all),accepted(catch-all),True,5
aroya.io,awsdns-hostmaster@amazon.com,,it@addium.io,it@addium.io,accepted(catch-all),accepted(catch-all),True,7
arta.ch,hostmaster@gandi.net,,,,rejected,rejected,False,1
artblocks.io,dns@cloudflare.com,,eng_auto_reports@artblocks.io,,accepted,accepted,False,5
artemis.ai,dns@cloudflare.com,,92451d8033544679a675fb6263f3a811@dmarc-reports.cloudflare.net,dmarc@artemisanalytics.com,accepted(catch-all),accepted(catch-all),True,1
arternal.com,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,5
ascendancy.co,dns@cloudflare.com,,,,rejected,accepted,False,5
ashbyhq.com,dns@cloudflare.com,,46a1e9172f3e4061be4c5063cd20fb49@dmarc-reports.cloudflare.net; ashbyhq-t@dmarc.report-uri.com,,accepted(catch-all),accepted(catch-all),True,5
askable.com,awsdns-hostmaster@amazon.com,,dmarc-reports@askable.com,dmarc-forensics@askable.com,accepted(catch-all),accepted(catch-all),True,5
askturing.ai,dns@cloudflare.com,,quarantine@askturing.ai,,rejected,accepted,False,5
asmallstudio.com,dns@cloudflare.com,,12d4a6d572e3421a9e4e61df78b90622@dmarc-reports.cloudflare.net,,rejected,accepted,False,5
assembly.com,awsdns-hostmaster@amazon.com,,re+wqrduojnzsg@dmarc.postmarkapp.com,,accepted,accepted,False,1
asteroid.ai,dns@cloudflare.com,,dmarc_agg@vali.email,,rejected,accepted,False,5
astrologyapi.com,dns@cloudflare.com,,,,rejected,accepted,False,5
athenium.com,awsdns-hostmaster@amazon.com,it@athenium.com,dmarc@athenium.com,,accepted(catch-all),accepted(catch-all),True,1
atlaspeople.io,dns@cloudflare.com,,87de0e89ee14400dbd2584bdead30c7c@dmarc-reports.cloudflare.net; dmarc@atlaspeople.io,,rejected,accepted,False,5
atlasx.co,dns@cloudflare.com,,dmarc@atlasx.co,,accepted,accepted,False,5
atom.com,dns@cloudflare.com,,150616962a1e46e8bc93cbdfb38fdffc@dmarc-reports.cloudflare.net; ea1422efa133.a@dmarcinput.com,ea1422efa133.f@dmarcinput.com,accepted(catch-all),accepted(catch-all),True,5
atomic.supply,cloud-dns-hostmaster@google.com,,171f03e3b4@rua.easydmarc.us,171f03e3b4@ruf.easydmarc.us,accepted(catch-all),accepted(catch-all),True,5
atominvest.co,awsdns-hostmaster@amazon.com,,emails@atominvest.co,,accepted,accepted,False,5
atriumdata.ai,dns@cloudflare.com,,dmarc@atriumdata.ai,dmarc@atriumdata.ai,rejected,accepted,False,1
attio.com,dns@cloudflare.com,,6f641590a6b04669b38655c477e48eb9@dmarc-reports.cloudflare.net; re+h0pgamxyyui@dmarc.postmarkapp.com,,accepted,accepted,False,5
attributionapp.com,admin@dnsimple.com,,dmarcreports@attributionapp.com,,rejected,accepted,False,5
audioscape.ai,awsdns-hostmaster@amazon.com,,dmarc@audioscape.ai,,rejected,accepted,False,2
aurelian.com,azuredns-hostmaster@microsoft.com,,,,rejected,accepted,False,1
austintechnology.com.au,dns@cloudflare.com,,b199d019a9@rua.easydmarc.com,b199d019a9@ruf.easydmarc.com,rejected,rejected,False,1
avertro.com,dns@jomax.net,,webmaster@avertro.com,,accepted(catch-all),accepted(catch-all),True,5
avmap.it,dns@cloudflare.com,,dmarcin@wangate.com,dmarcin@wangate.com,rejected,rejected,False,2
avo.app,cloud-dns-hostmaster@google.com,,postmaster@avo.sh; avoreport-d@dmarc.report-uri.com,abuse@avo.sh,accepted,accepted,False,5
avoma.com,awsdns-hostmaster@amazon.com,,,,accepted,accepted,False,5
axify.io,dns@cloudflare.com,,dmarc-reports@axify.io,,accepted(catch-all),accepted(catch-all),True,5
axiocap.com,dns@cloudflare.com,,55366e23a73b48ab989c7f443e5ad585@dmarc-reports.cloudflare.net,,rejected,rejected,False,1
axiom.co,dns@cloudflare.com,,dmarc@axiom.co,,accepted,accepted,False,5
azion.com,admin@azion.com,noc@azion.com,dmark@azion.com,dmark@azion.com,accepted,accepted,False,7
b.capital,awsdns-hostmaster@amazon.com,,e37a131d30f1.a@dmarcinput.com,e37a131d30f1.f@dmarcinput.com,rejected,rejected,False,1
babbl-labs.com,dns@cloudflare.com,,,,accepted,accepted,False,1
babyjourney.se,dns@cloudflare.com,,1zsqob8r@ag.eu.dmarcadvisor.com,,rejected,accepted,False,5
backstory.ai,awsdns-hostmaster@amazon.com,,admin@backstory.ai,,accepted(catch-all),accepted(catch-all),True,1
backyardbrains.com,dns-admin@google.com,,dmarc-reports@backyardbrains.com,,rejected,accepted,False,5
badgermapping.com,dns@dnsmadeeasy.com,,re+73d635254007@inbound.dmarcdigests.com,,accepted(catch-all),accepted(catch-all),True,5
badideas.fund,dns@cloudflare.com,,r@badideas.fund,,rejected,accepted,False,5
bagel.ai,cloud-dns-hostmaster@google.com,,dmarc-reports@bagel.ai,,mx-unreachable,mx-unreachable,None,1
bajajbroking.in,awsdns-hostmaster@amazon.com,,rua.bajajbroking@emailauth.in,ruf.bajajbroking@emailauth.in,rejected,rejected,False,1
base.org,dns@cloudflare.com,,jpohmdhp@ag.dmarcian.com,jpohmdhp@fr.dmarcian.com,accepted(catch-all),accepted(catch-all),True,6
base39.com.br,awsdns-hostmaster@amazon.com,,dmarc-reports@base39.com.br,dmarc-failures@base39.com.br,accepted(catch-all),accepted(catch-all),True,1
basicops.com,dns@jomax.net,,dmarc@basicops.com; dmarc_agg@vali.email,dmarc@basicops.com,rejected,accepted,False,5
baston.com.br,dns@cloudflare.com,,,,rejected,rejected,False,1
battery.com,dns@digicertdns.com,,czcm3soe@ag.us.dmarcian.com,czcm3soe@fr.us.dmarcian.com,rejected,rejected,False,1
baxtel.com,dns@cloudflare.com,,dmarc@baxtel.com,dmarc@baxtel.com,accepted(catch-all),accepted(catch-all),True,5
bazze.io,awsdns-hostmaster@amazon.com,,dmarc@bazze.io,,accepted,accepted,False,5
bdex.com,dns@jomax.net,,dmarc-aggregate@bdex.com,dmarc-afrf@bdex.com,rejected,rejected,False,1
bdg.io,hostmaster@united-domains.de,,rua@dmarc.brevo.com; re+a202fb6cde88@inbound.dmarcdigests.com,,rejected,rejected,False,1
bdtax.com.bd,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,5
beachbossinfluencers.com,dns@cloudflare.com,,re+sybaejo9jmq@dmarc.postmarkapp.com,,accepted(catch-all),accepted(catch-all),True,5
beaufort12.com,dns@jomax.net,,fdc2c1edad@rua.easydmarc.eu; d198701a@inbox.ondmarc.com; d198701a@inbox.ondmarc.com,fdc2c1edad@ruf.easydmarc.eu; d198701a@inbox.ondmarc.com; d198701a@inbox.ondmarc.com,accepted(catch-all),accepted(catch-all),True,5
beautech.aero,dnsadm@choopa.com,,beautechpowersystems@us.cp-dmarc.com; dmarc@beautech.aero; ee308df57b@rua.easydmarc.us,dmarc@beautech.aero; ee308df57b@ruf.easydmarc.us; beautechpowersystems@us.cp-dmarc.com,accepted,rejected,False,1
bebakids.com,dns@cloudflare.com,,no-reply@bebakids.com,,rejected,rejected,False,1
beemdata.com,awsdns-hostmaster@amazon.com,,dmarc@zwkysgw2.uriports.com,dmarc@zwkysgw2.uriports.com,accepted,accepted,False,5
begolden.com.pl,tech@ovh.net,,dmarc@begolden.com.pl,dmarc@begolden.com.pl,mx-unreachable,mx-unreachable,None,5
bei-us.com,grgrayban@bei-us.com,,networkengineering@beitechnologies.net,,rejected,rejected,False,1
bellwetherit.com,dns@cloudflare.com,,e94ac4d4652b45179a0bfaf375927544@dmarc-reports.cloudflare.net; 61b93c1fb310e@ag.dmarcly.com,e94ac4d4652b45179a0bfaf375927544@dmarc-reports.cloudflare.net; 61b93c1fb310e@fo.dmarcly.com,rejected,accepted,False,1
benchmarkminerals.com,dns@cloudflare.com,,re+8597a5dff3e8@inbound.dmarcdigests.com,,accepted(catch-all),accepted(catch-all),True,1
besample.app,hostmaster@besample.app,,rua+891s5fnznzi5@dmarcwise.email; 4456e255@in.mailhardener.com,4456e255@in.mailhardener.com,accepted(catch-all),accepted(catch-all),True,5
betterbugs.io,dns@cloudflare.com,,dmarc-reports@betterbugs.io; support@betterbugs.io,,accepted,accepted,False,5
betterleap.com,dns@cloudflare.com,,re+dm86xfg0ocn@dmarc.postmarkapp.com; re+ss5vqjjixug@dmarc.postmarkapp.com,,accepted(catch-all),accepted(catch-all),True,7
betterstack.com,dns@cloudflare.com,,78ada66085894fde8807ebb4d1da1aec@dmarc-reports.cloudflare.net; rua@dmarc.brevo.com,,accepted(catch-all),accepted(catch-all),True,5
beveldata.com,dns@cloudflare.com,,extsecalerts@bestow.com,extsecalerts@bestow.com,mx-unreachable,mx-unreachable,None,2
bfl.ai,azuredns-hostmaster@microsoft.com,,,,mx-unreachable,mx-unreachable,None,1
bidprime.com,awsdns-hostmaster@amazon.com,,bounce@bidprime.com,bounce@bidprime.com,accepted(catch-all),accepted(catch-all),True,5
bigdata.com,awsdns-hostmaster@amazon.com,security@ravenpack.com,79f0f1c37a@rua.easydmarc.eu,79f0f1c37a@ruf.easydmarc.eu,accepted,accepted,False,5
bigenius-x.com,root@domaintechnik.at,,,,rejected,rejected,False,1
biggeo.com,dns@cloudflare.com,,6efccb26bde44b98802549744b33b226@dmarc-reports.cloudflare.net,,accepted,accepted,False,5
bigvu.tv,awsdns-hostmaster@amazon.com,,no-reply@bigvu.tv,,rejected,accepted,False,5
billygrace.com,awsdns-hostmaster@amazon.com,,mailsecurity@billygrace.com,,rejected,accepted,False,5
binclusive.io,dns@cloudflare.com,,,,accepted(catch-all),accepted(catch-all),True,5
binderr.com,awsdns-hostmaster@amazon.com,,mail.reports@binderr.com,,accepted,accepted,False,5
bitmovin.com,dns@cloudflare.com,,dmarc-report@bitmovin.com,dmarc-failures@bitmovin.com,accepted,accepted,False,5
bitquery.io,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,5
bitrise.io,dns@cloudflare.com,,dmarc-report@bitrise.io,,accepted(catch-all),accepted(catch-all),True,7
bizaway.com,awsdns-hostmaster@amazon.com,,dmarc@bizaway.com,,accepted(catch-all),accepted(catch-all),True,5
bizstream.com,dns@cloudflare.com,,ops@bizstream.com,,accepted(catch-all),accepted(catch-all),True,5
blazesql.com,cloud-dns-hostmaster@google.com,,,,accepted(catch-all),accepted(catch-all),True,5
blend-ai.com,dns@cloudflare.com,,info@blend-ai.com,,rejected,accepted,False,5
blockscholes.com,hostmaster@uk2.net,,bmiller@blockscholes.com,bmiller@blockscholes.com,rejected,accepted,False,5
blocksize.info,domains+netlify@netlify.com,,,,mx-unreachable,mx-unreachable,None,1
bluegamma.io,dns@cloudflare.com,,dmarc-reports@bluegamma.io,,accepted(catch-all),accepted(catch-all),True,5
bluente.com,dns@cloudflare.com,,,,rejected,accepted,False,5
bluetriangle.com,dns@cloudflare.com,,7eb18607e87b4304be348bb08da5c7fc@dmarc-reports.cloudflare.net,,accepted,rejected,False,1
bnicapital.com,hostmaster@infomaniak.ch,,,,rejected,rejected,False,1
bold-agro.ai,support@banahosting.com,,,,accepted(catch-all),accepted(catch-all),True,6
bonafide.ai,dns@jomax.net,,,,rejected,accepted,False,5
bonnie.ai,dns@jomax.net,,dmarc_rua@onsecureserver.net,,accepted(catch-all),accepted(catch-all),True,5
bonuz.market,dns@cloudflare.com,,,,accepted(catch-all),accepted(catch-all),True,5
boom.nl,hostmaster@transip.nl,,tufpkgym@ag.eu.dmarcian.com,,accepted,rejected,False,1
boompop.com,awsdns-hostmaster@amazon.com,,no-reply@boompop.com,,accepted(catch-all),accepted(catch-all),True,5
brainfab.com,dns@jomax.net,,dmarc-reports@brainfab.com,,rejected,accepted,False,5
branch.co,dns@cloudflare.com,,postmaster@branch.co,postmaster@branch.co,accepted,accepted,False,5
brandsmeetcreators.com,dns@cloudflare.com,,dmarc-alert@brandsmeetcreators.com,,accepted(catch-all),accepted(catch-all),True,5
breakthroughsales.io,cloud-dns-hostmaster@google.com,,dmarcreports@breakthroughsales.io,,accepted,accepted,False,1
breezy.hr,awsdns-hostmaster@amazon.com,,,,rejected,rejected,False,5
brevo.com,dns@cloudflare.com,,rua@dmarc.brevo.com,,accepted,accepted,False,5
bridgemarketplace.com,awsdns-hostmaster@amazon.com,,p7pq91lfo1@rua.powerdmarc.com; re+015d4ae4200e@inbound.dmarcdigests.com,p7pq91lfo1@ruf.powerdmarc.com,rejected,rejected,False,1
briecomterobert.fr,hostmaster@gandi.net,,,,rejected,rejected,False,1
brightedge.com,zone-admin@dyndns.com,,yjn89hfq@ag.us.dmarcian.com,yjn89hfq@fr.us.dmarcian.com,accepted(catch-all),accepted(catch-all),True,1
brightidea.com,awsdns-hostmaster@amazon.com,,report@dmarc.brightidea.com,report@dmarc.brightidea.com,rejected,rejected,False,1
brightmls.com,awsdns-hostmaster@amazon.com,,58654968@inbox.ondmarc.com,58654968@inbox.ondmarc.com,rejected,accepted,False,1
browserless.io,hostmaster@registrar-servers.com,,admin@browserless.io,,accepted,accepted,False,5
buffer.com,dns@cloudflare.com,,re+expge6woxi3@dmarc.postmarkapp.com,,accepted,accepted,False,5
buhochile.com,awsdns-hostmaster@amazon.com,,rua@dmarc.brevo.com,,rejected,accepted,False,5
builderhead.com,awsdns-hostmaster@amazon.com,,dmarc@builderhead.com,,accepted(catch-all),accepted(catch-all),True,1
builders.studio,awsdns-hostmaster@amazon.com,,,,rejected,accepted,False,5
buildfire.com,dns@jomax.net,,ipma8z@ar.glockapps.com,ipma8z@fr.glockapps.com,accepted(catch-all),accepted(catch-all),True,5
buildkite.com,awsdns-hostmaster@amazon.com,,buildkite-d@dmarc.report-uri.com; dmarc@buildkite.uriports.com,,accepted,accepted,False,5
bullit.ai,hostmaster@1und1.com,,,,rejected,rejected,False,1
bytehide.com,awsdns-hostmaster@amazon.com,,dmarc@bytehide.com,,rejected,accepted,False,5
bzigo.com,dns@cloudflare.com,,,,accepted(catch-all),accepted(catch-all),True,5
c3biz.com,root@REGISTER.com,,abuse@c3biz.com,abuse@c3biz.com,rejected,accepted,False,1
caisgroup.com,dns@cloudflare.com,,097b77fe228d45f493b64c680aef617a@dmarc-reports.cloudflare.net; sserron@caisgroup.com; skibble@caisgroup.com; ezahariev@caisgroup.com,sserron@caisgroup.com; skibble@caisgroup.com; ezahariev@caisgroup.com,accepted,rejected,False,1
callpercy.com,hostmaster@callpercy.com,,dmarc-reports@callpercy.com,dmarc-forensics@callpercy.com,rejected,accepted,False,6
campaignswell.com,dns@cloudflare.com,,753abd8646ad4b70bad70afc651ab1e2@dmarc-reports.cloudflare.net,,rejected,accepted,False,5
campcation.com,awsdns-hostmaster@amazon.com,,karl@campcation.com,,rejected,accepted,False,5
