domain,emails,security_txt_url
tweakwise.com,secops@optimizers.com,https://tweakwise.com/.well-known/security.txt
upsun.com,security@upsun.com,https://upsun.com/.well-known/security.txt
vacationtracker.io,security@vacationtracker.io,https://vacationtracker.io/.well-known/security.txt
vanta.com,security@vanta.com,https://vanta.com/.well-known/security.txt
vblh.de,security-contact@atruvia.de,https://vblh.de/.well-known/security.txt
veeam.com,security@veeam.com,https://veeam.com/.well-known/security.txt
vetster.com,security@vetster.com,https://vetster.com/security.txt
viasocket.com,support@viasocket.com,https://viasocket.com/.well-known/security.txt
vrnu.de,security-contact@atruvia.de,https://vrnu.de/.well-known/security.txt
vvr-bank.de,security-contact@atruvia.de,https://vvr-bank.de/.well-known/security.txt
web.de,report@bugbounty.web.de,https://web.de/.well-known/security.txt
whisper.security,security@whisper.security,https://www.whisper.security/.well-known/security.txt
writesonic.com,security@writesonic.com,https://writesonic.com/security.txt
wrld.tech,support@wrld.host,https://wrld.tech/.well-known/security.txt
zaslat.cz,admin@zaslat.cz,https://zaslat.cz/security.txt
