email,domain,phase,source_url
abuse@alamah.om,alamah.om,tier1-2-smtp,
abuse@alegra.com,alegra.com,tier1-2-smtp,
abuse@aleluya.com,aleluya.com,tier1-2-smtp,
abuse@algolia.com,algolia.com,tier1-2-smtp,
abuse@allears.ai,allears.ai,tier1-2-smtp,
abuse@allocate.co,allocate.co,tier1-2-smtp,
abuse@alloy.app,alloy.app,tier1-2-smtp,
abuse@alma.food,alma.food,tier1-2-smtp,
abuse@alphavantage.co,alphavantage.co,tier1-2-smtp,
abuse@altfndata.com,altfndata.com,tier1-2-smtp,
abuse@altuspower.com,altuspower.com,tier1-2-smtp,
abuse@amass.tech,amass.tech,tier1-2-smtp,
abuse@amplifier.com,amplifier.com,tier1-2-smtp,
abuse@amt.ai,amt.ai,tier1-2-smtp,
abuse@and.com,and.com,tier1-2-smtp,
abuse@ando.so,ando.so,tier1-2-smtp,
abuse@animaj.com,animaj.com,tier1-2-smtp,
abuse@antbuddy.com,antbuddy.com,tier1-2-smtp,
abuse@antimetal.com,antimetal.com,tier1-2-smtp,
abuse@antler.co,antler.co,tier1-2-smtp,
abuse@aparti.ai,aparti.ai,tier1-2-smtp,
abuse@aperture.london,aperture.london,tier1-2-smtp,
abuse@apono.io,apono.io,tier1-2-smtp,
abuse@applypass.com,applypass.com,tier1-2-smtp,
abuse@archera.ai,archera.ai,tier1-2-smtp,
abuse@archilogic.com,archilogic.com,tier1-2-smtp,
abuse@are.na,are.na,tier1-2-smtp,
abuse@aries.com,aries.com,tier1-2-smtp,
abuse@aris.in,aris.in,tier1-2-smtp,
abuse@artblocks.io,artblocks.io,tier1-2-smtp,
abuse@arternal.com,arternal.com,tier1-2-smtp,
abuse@ascendancy.co,ascendancy.co,tier1-2-smtp,
abuse@askturing.ai,askturing.ai,tier1-2-smtp,
abuse@asmallstudio.com,asmallstudio.com,tier1-2-smtp,
abuse@assembly.com,assembly.com,tier1-2-smtp,
abuse@asteroid.ai,asteroid.ai,tier1-2-smtp,
abuse@astrologyapi.com,astrologyapi.com,tier1-2-smtp,
abuse@atlaspeople.io,atlaspeople.io,tier1-2-smtp,
abuse@atlasx.co,atlasx.co,tier1-2-smtp,
abuse@atominvest.co,atominvest.co,tier1-2-smtp,
abuse@atriumdata.ai,atriumdata.ai,tier1-2-smtp,
abuse@attio.com,attio.com,tier1-2-smtp,
abuse@attributionapp.com,attributionapp.com,tier1-2-smtp,
abuse@audioscape.ai,audioscape.ai,tier1-2-smtp,
abuse@aurelian.com,aurelian.com,tier1-2-smtp,
abuse@avo.app,avo.app,tier1-2-smtp,
abuse@avoma.com,avoma.com,tier1-2-smtp,
abuse@axiom.co,axiom.co,tier1-2-smtp,
abuse@azion.com,azion.com,tier1-2-smtp,
abuse@babbl-labs.com,babbl-labs.com,tier1-2-smtp,
abuse@babyjourney.se,babyjourney.se,tier1-2-smtp,
abuse@backyardbrains.com,backyardbrains.com,tier1-2-smtp,
abuse@badideas.fund,badideas.fund,tier1-2-smtp,
abuse@basicops.com,basicops.com,tier1-2-smtp,
abuse@bazze.io,bazze.io,tier1-2-smtp,
abuse@bdtax.com.bd,bdtax.com.bd,tier1-2-smtp,
abuse@beemdata.com,beemdata.com,tier1-2-smtp,
abuse@bellwetherit.com,bellwetherit.com,tier1-2-smtp,
abuse@betterbugs.io,betterbugs.io,tier1-2-smtp,
abuse@bigdata.com,bigdata.com,tier1-2-smtp,
abuse@biggeo.com,biggeo.com,tier1-2-smtp,
abuse@bigvu.tv,bigvu.tv,tier1-2-smtp,
abuse@billygrace.com,billygrace.com,tier1-2-smtp,
abuse@binderr.com,binderr.com,tier1-2-smtp,
abuse@bitmovin.com,bitmovin.com,tier1-2-smtp,
abuse@bitquery.io,bitquery.io,tier1-2-smtp,
abuse@blend-ai.com,blend-ai.com,tier1-2-smtp,
abuse@blockscholes.com,blockscholes.com,tier1-2-smtp,
abuse@bluente.com,bluente.com,tier1-2-smtp,
abuse@bonafide.ai,bonafide.ai,tier1-2-smtp,
abuse@brainfab.com,brainfab.com,tier1-2-smtp,
abuse@branch.co,branch.co,tier1-2-smtp,
abuse@breakthroughsales.io,breakthroughsales.io,tier1-2-smtp,
abuse@brevo.com,brevo.com,tier1-2-smtp,
abuse@brevo.com,brevo.com,C-sec,https://brevo.com/contact
abuse@brightmls.com,brightmls.com,tier1-2-smtp,
abuse@browserless.io,browserless.io,tier1-2-smtp,
abuse@buffer.com,buffer.com,tier1-2-smtp,
abuse@buhochile.com,buhochile.com,tier1-2-smtp,
abuse@builders.studio,builders.studio,tier1-2-smtp,
abuse@buildkite.com,buildkite.com,tier1-2-smtp,
abuse@bytehide.com,bytehide.com,tier1-2-smtp,
abuse@c3biz.com,c3biz.com,tier1-2-smtp,
abuse@c3biz.com,c3biz.com,tier1-2-dns:dmarc_rua,
abuse@c3biz.com,c3biz.com,tier1-2-dns:dmarc_ruf,
abuse@callpercy.com,callpercy.com,tier1-2-smtp,
abuse@campaignswell.com,campaignswell.com,tier1-2-smtp,
abuse@campcation.com,campcation.com,tier1-2-smtp,
abuse@capsule.video,capsule.video,tier1-2-smtp,
abuse@careflowiq.com,careflowiq.com,tier1-2-smtp,
abuse@carohq.com,carohq.com,tier1-2-smtp,
abuse@carriyo.com,carriyo.com,tier1-2-smtp,
abuse@cashflowfrog.com,cashflowfrog.com,tier1-2-smtp,
abuse@cashfree.com,cashfree.com,tier1-2-smtp,
abuse@ceramic.ai,ceramic.ai,tier1-2-smtp,
abuse@channel99.com,channel99.com,tier1-2-smtp,
abuse@chargebee.com,chargebee.com,tier1-2-smtp,
abuse@chartmetric.com,chartmetric.com,tier1-2-smtp,
abuse@checkr.com,checkr.com,tier1-2-smtp,
abuse@chetto.ai,chetto.ai,tier1-2-smtp,
abuse@chift.eu,chift.eu,tier1-2-smtp,
abuse@chisellabs.com,chisellabs.com,tier1-2-smtp,
abuse@chowdeck.com,chowdeck.com,tier1-2-smtp,
abuse@clazar.io,clazar.io,tier1-2-smtp,
abuse@cleanhealth.edu.au,cleanhealth.edu.au,tier1-2-smtp,
abuse@clemta.com,clemta.com,tier1-2-smtp,
abuse@cleo.com,cleo.com,tier1-2-smtp,
abuse@clerk.chat,clerk.chat,tier1-2-smtp,
abuse@clickrain.com,clickrain.com,tier1-2-smtp,
abuse@clickup.com,clickup.com,tier1-2-smtp,
abuse@clinicadoleite.com.br,clinicadoleite.com.br,tier1-2-smtp,
abuse@clint.digital,clint.digital,tier1-2-smtp,
abuse@clootrack.com,clootrack.com,tier1-2-smtp,
abuse@cloudeagle.ai,cloudeagle.ai,tier1-2-smtp,
abuse@cloverleaf.ai,cloverleaf.ai,tier1-2-smtp,
abuse@clozd.com,clozd.com,tier1-2-smtp,
abuse@coastapp.com,coastapp.com,tier1-2-smtp,
abuse@codspeed.io,codspeed.io,tier1-2-smtp,
abuse@cofi.ai,cofi.ai,tier1-2-smtp,
abuse@coinmarketcap.com,coinmarketcap.com,tier1-2-smtp,
abuse@coinstats.app,coinstats.app,tier1-2-smtp,
abuse@collegepulse.com,collegepulse.com,tier1-2-smtp,
abuse@commonscompany.com,commonscompany.com,tier1-2-smtp,
abuse@community.com,community.com,tier1-2-smtp,
abuse@conjura.com,conjura.com,tier1-2-smtp,
abuse@connect-x.tech,connect-x.tech,tier1-2-smtp,
abuse@consensus.app,consensus.app,tier1-2-smtp,
abuse@construflow.com.br,construflow.com.br,tier1-2-smtp,
abuse@contable.app,contable.app,tier1-2-smtp,
abuse@contaja.com.br,contaja.com.br,tier1-2-smtp,
abuse@contentstudio.io,contentstudio.io,tier1-2-smtp,
abuse@contextqa.com,contextqa.com,tier1-2-smtp,
abuse@conversionmediagroup.com,conversionmediagroup.com,tier1-2-smtp,
abuse@convex.dev,convex.dev,tier1-2-smtp,
abuse@conviva.com,conviva.com,tier1-2-smtp,
abuse@coolset.com,coolset.com,tier1-2-smtp,
abuse@copilotkit.ai,copilotkit.ai,tier1-2-smtp,
abuse@coris.ai,coris.ai,tier1-2-smtp,
abuse@corneliajames.com,corneliajames.com,tier1-2-smtp,
abuse@cortea.ai,cortea.ai,tier1-2-smtp,
abuse@coupler.io,coupler.io,tier1-2-smtp,
abuse@craft.io,craft.io,tier1-2-smtp,
abuse@creatordb.app,creatordb.app,tier1-2-smtp,
abuse@credibledata.com,credibledata.com,tier1-2-smtp,
abuse@credix.finance,credix.finance,tier1-2-smtp,
abuse@crewos.io,crewos.io,tier1-2-smtp,
abuse@crossbeam.com,crossbeam.com,tier1-2-smtp,
abuse@cryptoquant.com,cryptoquant.com,tier1-2-smtp,
abuse@cryptorefills.com,cryptorefills.com,tier1-2-smtp,
abuse@crystalknows.com,crystalknows.com,tier1-2-smtp,
abuse@csllcnow.com,csllcnow.com,tier1-2-smtp,
abuse@cubesoftware.com,cubesoftware.com,tier1-2-smtp,
abuse@cuckooworkout.com,cuckooworkout.com,tier1-2-smtp,
abuse@cuelinks.com,cuelinks.com,tier1-2-smtp,
abuse@cuemath.com,cuemath.com,tier1-2-smtp,
abuse@curri.com,curri.com,tier1-2-smtp,
abuse@customerscore.io,customerscore.io,tier1-2-smtp,
abuse@customily.com,customily.com,tier1-2-smtp,
abuse@cuure.com,cuure.com,tier1-2-smtp,
abuse@cyberday.ai,cyberday.ai,tier1-2-smtp,
abuse@cymulate.com,cymulate.com,tier1-2-smtp,
abuse@dana.id,dana.id,tier1-2-smtp,
abuse@danelfin.com,danelfin.com,tier1-2-smtp,
abuse@daniel-ip.com,daniel-ip.com,tier1-2-smtp,
abuse@darkmatter.is,darkmatter.is,tier1-2-smtp,
abuse@dash.fi,dash.fi,tier1-2-smtp,
abuse@dashbo.io,dashbo.io,tier1-2-smtp,
abuse@data-axle.com,data-axle.com,tier1-2-smtp,
abuse@databar.ai,databar.ai,tier1-2-smtp,
abuse@datadome.co,datadome.co,tier1-2-smtp,
abuse@dataforseo.com,dataforseo.com,tier1-2-smtp,
abuse@datahub.com,datahub.com,tier1-2-smtp,
abuse@datamaran.com,datamaran.com,tier1-2-smtp,
abuse@datanomik.com,datanomik.com,tier1-2-smtp,
abuse@datapolicy.co,datapolicy.co,tier1-2-smtp,
abuse@datarails.com,datarails.com,tier1-2-smtp,
abuse@dataspike.io,dataspike.io,tier1-2-smtp,
abuse@dealmachine.com,dealmachine.com,tier1-2-smtp,
abuse@dealroom.co,dealroom.co,tier1-2-smtp,
abuse@deepidv.com,deepidv.com,tier1-2-smtp,
abuse@deeploy.ai,deeploy.ai,tier1-2-smtp,
abuse@detrack.com,detrack.com,tier1-2-smtp,
abuse@detrics.io,detrics.io,tier1-2-smtp,
abuse@didlogic.com,didlogic.com,tier1-2-smtp,
abuse@diffly.co,diffly.co,tier1-2-smtp,
abuse@digitalsurge.com.au,digitalsurge.com.au,tier1-2-smtp,
abuse@dispatchit.com,dispatchit.com,tier1-2-smtp,
abuse@dobbyads.com,dobbyads.com,tier1-2-smtp,
abuse@docsautomator.co,docsautomator.co,tier1-2-smtp,
abuse@doit.com,doit.com,tier1-2-smtp,
abuse@doktorsitesi.com,doktorsitesi.com,tier1-2-smtp,
abuse@doola.com,doola.com,tier1-2-smtp,
abuse@dorsia.com,dorsia.com,tier1-2-smtp,
abuse@dotter.me,dotter.me,tier1-2-smtp,
abuse@drome.com.br,drome.com.br,tier1-2-smtp,
abuse@drugbank.com,drugbank.com,tier1-2-smtp,
abuse@dutchvalleyfoods.com,dutchvalleyfoods.com,tier1-2-smtp,
abuse@e-cruce.com,e-cruce.com,tier1-2-smtp,
abuse@easycomp.ai,easycomp.ai,tier1-2-smtp,
abuse@easyleadz.com,easyleadz.com,tier1-2-smtp,
abuse@easyship.com,easyship.com,tier1-2-smtp,
abuse@ecair.eco,ecair.eco,tier1-2-smtp,
abuse@ecdb.com,ecdb.com,tier1-2-smtp,
abuse@eden.so,eden.so,tier1-2-smtp,
abuse@edgetier.com,edgetier.com,tier1-2-smtp,
abuse@edito-pdf.com,edito-pdf.com,tier1-2-smtp,
abuse@elkat.no,elkat.no,tier1-2-smtp,
abuse@ellipsend.com,ellipsend.com,tier1-2-smtp,
abuse@emerge-tech.io,emerge-tech.io,tier1-2-smtp,
abuse@enapter.com,enapter.com,tier1-2-smtp,
abuse@engrate.io,engrate.io,tier1-2-smtp,
abuse@enrich.so,enrich.so,tier1-2-smtp,
abuse@enrola.com.au,enrola.com.au,tier1-2-smtp,
abuse@enshift.com,enshift.com,tier1-2-smtp,
abuse@envoy.com,envoy.com,tier1-2-smtp,
abuse@eon.io,eon.io,tier1-2-smtp,
abuse@epam.com,epam.com,tier1-2-smtp,
abuse@epsilon3.io,epsilon3.io,tier1-2-smtp,
abuse@erlin.ai,erlin.ai,tier1-2-smtp,
abuse@espm.br,espm.br,tier1-2-smtp,
abuse@esputnik.com,esputnik.com,tier1-2-smtp,
abuse@estarter.co,estarter.co,tier1-2-smtp,
abuse@etermax.com,etermax.com,tier1-2-smtp,
abuse@eunice.ai,eunice.ai,tier1-2-smtp,
abuse@evernote.com,evernote.com,tier1-2-smtp,
abuse@everymanjack.com,everymanjack.com,tier1-2-smtp,
abuse@exa.ai,exa.ai,tier1-2-smtp,
abuse@explorium.ai,explorium.ai,tier1-2-smtp,
abuse@facilio.com,facilio.com,tier1-2-smtp,
abuse@fairly.com,fairly.com,tier1-2-smtp,
abuse@fal.ai,fal.ai,tier1-2-smtp,
abuse@fastbridgefiber.com,fastbridgefiber.com,tier1-2-smtp,
abuse@fergus.com,fergus.com,tier1-2-smtp,
abuse@findable.ai,findable.ai,tier1-2-smtp,
abuse@findymail.com,findymail.com,tier1-2-smtp,
abuse@finout.io,finout.io,tier1-2-smtp,
abuse@fintoc.com,fintoc.com,tier1-2-smtp,
abuse@fitsamerica.com,fitsamerica.com,tier1-2-smtp,
abuse@fleetx.io,fleetx.io,tier1-2-smtp,
abuse@flexmls.com,flexmls.com,tier1-2-smtp,
abuse@flipsnack.com,flipsnack.com,tier1-2-smtp,
abuse@flodesk.com,flodesk.com,tier1-2-smtp,
abuse@flora.ai,flora.ai,tier1-2-smtp,
abuse@flowcredi.com.br,flowcredi.com.br,tier1-2-smtp,
abuse@fluss.io,fluss.io,tier1-2-smtp,
abuse@fomo.ai,fomo.ai,tier1-2-smtp,
abuse@fonzi.ai,fonzi.ai,tier1-2-smtp,
abuse@formant.io,formant.io,tier1-2-smtp,
abuse@formassembly.com,formassembly.com,tier1-2-smtp,
abuse@forter.com,forter.com,tier1-2-smtp,
abuse@fourthwall.tv,fourthwall.tv,tier1-2-smtp,
abuse@frambemanning.se,frambemanning.se,tier1-2-smtp,
abuse@freshbus.com,freshbus.com,tier1-2-smtp,
abuse@friday.nl,friday.nl,tier1-2-smtp,
abuse@furious-squad.com,furious-squad.com,tier1-2-smtp,
abuse@futuresnoops.com,futuresnoops.com,tier1-2-smtp,
abuse@fyma.ai,fyma.ai,tier1-2-smtp,
abuse@fynite.ai,fynite.ai,tier1-2-smtp,
abuse@fyxer.com,fyxer.com,tier1-2-smtp,
abuse@gameball.co,gameball.co,tier1-2-smtp,
abuse@gamma.app,gamma.app,tier1-2-smtp,
abuse@general.legal,general.legal,tier1-2-smtp,
abuse@genialcare.com.br,genialcare.com.br,tier1-2-smtp,
abuse@genially.com,genially.com,tier1-2-smtp,
abuse@genloop.ai,genloop.ai,tier1-2-smtp,
abuse@geopard.tech,geopard.tech,tier1-2-smtp,
abuse@getaleph.com,getaleph.com,tier1-2-smtp,
abuse@getboomerang.ai,getboomerang.ai,tier1-2-smtp,
abuse@getcroissant.com,getcroissant.com,tier1-2-smtp,
abuse@getdex.com,getdex.com,tier1-2-smtp,
abuse@getken.ai,getken.ai,tier1-2-smtp,
abuse@getloper.com,getloper.com,tier1-2-smtp,
abuse@getmontecarlo.com,getmontecarlo.com,tier1-2-smtp,
abuse@getpalm.com,getpalm.com,tier1-2-smtp,
abuse@getresponse.com,getresponse.com,tier1-2-smtp,
abuse@getsales.io,getsales.io,tier1-2-smtp,
abuse@getsift.ai,getsift.ai,tier1-2-smtp,
abuse@giftpoint.io,giftpoint.io,tier1-2-smtp,
abuse@gigantic.pt,gigantic.pt,tier1-2-smtp,
abuse@gigstack.io,gigstack.io,tier1-2-smtp,
abuse@gleap.io,gleap.io,tier1-2-smtp,
abuse@glede.app,glede.app,tier1-2-smtp,
abuse@glowtify.com,glowtify.com,tier1-2-smtp,
abuse@goalfy.com.br,goalfy.com.br,tier1-2-smtp,
abuse@goconsensus.com,goconsensus.com,tier1-2-smtp,
abuse@goextrovert.com,goextrovert.com,tier1-2-smtp,
abuse@goldfishads.com,goldfishads.com,tier1-2-smtp,
abuse@gomining.com,gomining.com,tier1-2-smtp,
abuse@gothru.co,gothru.co,tier1-2-smtp,
abuse@gowindmill.com,gowindmill.com,tier1-2-smtp,
abuse@gpbullhound.com,gpbullhound.com,tier1-2-smtp,
abuse@grasp.study,grasp.study,tier1-2-smtp,
abuse@gravl.io,gravl.io,tier1-2-smtp,
abuse@groupesignalisation.ca,groupesignalisation.ca,tier1-2-smtp,
abuse@growhouse.co,growhouse.co,tier1-2-smtp,
abuse@growthfactor.ai,growthfactor.ai,tier1-2-smtp,
abuse@growthkitchen.co,growthkitchen.co,tier1-2-smtp,
abuse@grupoamericainterior.com.ar,grupoamericainterior.com.ar,tier1-2-smtp,
abuse@grupovelas.com.br,grupovelas.com.br,tier1-2-smtp,
abuse@gxl.ai,gxl.ai,tier1-2-smtp,
abuse@gyramais.com.br,gyramais.com.br,tier1-2-smtp,
abuse@hackle.io,hackle.io,tier1-2-smtp,
abuse@haiku.fr,haiku.fr,tier1-2-smtp,
abuse@haloai.co.id,haloai.co.id,tier1-2-smtp,
abuse@headlight.co,headlight.co,tier1-2-smtp,
abuse@healthkey.health,healthkey.health,tier1-2-smtp,
abuse@hectorai.live,hectorai.live,tier1-2-smtp,
abuse@hellobonsai.com,hellobonsai.com,tier1-2-smtp,
abuse@helmer.app,helmer.app,tier1-2-smtp,
abuse@heroku.com,heroku.com,tier1-2-smtp,
abuse@hex.inc,hex.inc,tier1-2-smtp,
abuse@heybloome.com,heybloome.com,tier1-2-smtp,
abuse@heyflow.com,heyflow.com,tier1-2-smtp,
abuse@heymantle.com,heymantle.com,tier1-2-smtp,
abuse@heymarvin.com,heymarvin.com,tier1-2-smtp,
abuse@highspot.com,highspot.com,tier1-2-smtp,
abuse@himalayas.app,himalayas.app,tier1-2-smtp,
abuse@himodus.com,himodus.com,tier1-2-smtp,
abuse@hirenimbus.com,hirenimbus.com,tier1-2-smtp,
abuse@hivecpq.com,hivecpq.com,tier1-2-smtp,
abuse@hortitec.es,hortitec.es,tier1-2-smtp,
abuse@hospitable.com,hospitable.com,tier1-2-smtp,
abuse@hostingb2b.com,hostingb2b.com,tier1-2-smtp,
abuse@howz.com,howz.com,tier1-2-smtp,
abuse@humaans.io,humaans.io,tier1-2-smtp,
abuse@hunt.io,hunt.io,tier1-2-smtp,
abuse@hvakr.com,hvakr.com,tier1-2-smtp,
abuse@hypercore.ai,hypercore.ai,tier1-2-smtp,
abuse@hyperline.co,hyperline.co,tier1-2-smtp,
abuse@iamota.com,iamota.com,tier1-2-smtp,
abuse@icustomer.ai,icustomer.ai,tier1-2-smtp,
abuse@idc.com,idc.com,tier1-2-smtp,
abuse@idealo.com,idealo.com,tier1-2-smtp,
abuse@ideogram.ai,ideogram.ai,tier1-2-smtp,
abuse@illumex.ai,illumex.ai,tier1-2-smtp,
abuse@imagine.art,imagine.art,tier1-2-smtp,
abuse@inboxally.com,inboxally.com,tier1-2-smtp,
abuse@inboxkit.com,inboxkit.com,tier1-2-smtp,
abuse@incorpro.ie,incorpro.ie,tier1-2-smtp,
abuse@incube8.sg,incube8.sg,tier1-2-smtp,
abuse@indicaonline.com,indicaonline.com,tier1-2-smtp,
abuse@indmoney.com,indmoney.com,tier1-2-smtp,
abuse@infillion.com,infillion.com,tier1-2-smtp,
abuse@inflection.io,inflection.io,tier1-2-smtp,
abuse@influee.co,influee.co,tier1-2-smtp,
abuse@influx.com,influx.com,tier1-2-smtp,
abuse@infrasure.ai,infrasure.ai,tier1-2-smtp,
abuse@ingenious.build,ingenious.build,tier1-2-smtp,
abuse@ingest.ai,ingest.ai,tier1-2-smtp,
abuse@insided.com,insided.com,tier1-2-smtp,
abuse@insites.com,insites.com,tier1-2-smtp,
abuse@inspectionsupport.com,inspectionsupport.com,tier1-2-smtp,
abuse@instantly.ai,instantly.ai,tier1-2-smtp,
abuse@insurely.com,insurely.com,tier1-2-smtp,
abuse@intelimetrica.com,intelimetrica.com,tier1-2-smtp,
abuse@intellizence.com,intellizence.com,tier1-2-smtp,
abuse@intentwise.com,intentwise.com,tier1-2-smtp,
abuse@investdefy.com,investdefy.com,tier1-2-smtp,
abuse@investnext.com,investnext.com,tier1-2-smtp,
abuse@itgenius.com,itgenius.com,tier1-2-smtp,
abuse@itstoday.org,itstoday.org,tier1-2-smtp,
abuse@iyengarnyc.org,iyengarnyc.org,tier1-2-smtp,
abuse@jam.dev,jam.dev,tier1-2-smtp,
abuse@jam7.com,jam7.com,tier1-2-smtp,
abuse@jambase.com,jambase.com,tier1-2-smtp,
abuse@jasper.ai,jasper.ai,tier1-2-smtp,
abuse@jepto.com,jepto.com,tier1-2-smtp,
abuse@jobphoning.com,jobphoning.com,tier1-2-smtp,
abuse@jobspikr.com,jobspikr.com,tier1-2-smtp,
abuse@joinswsh.com,joinswsh.com,tier1-2-smtp,
abuse@jointimecloud.com,jointimecloud.com,tier1-2-smtp,
abuse@joyn.one,joyn.one,tier1-2-smtp,
abuse@judgmentlabs.ai,judgmentlabs.ai,tier1-2-smtp,
abuse@july.com,july.com,tier1-2-smtp,
abuse@jurny.com,jurny.com,tier1-2-smtp,
abuse@kapoq.com,kapoq.com,tier1-2-smtp,
abuse@kapptivate.com,kapptivate.com,tier1-2-smtp,
abuse@katara.ai,katara.ai,tier1-2-smtp,
abuse@kayzen.io,kayzen.io,tier1-2-smtp,
abuse@keeping.com,keeping.com,tier1-2-smtp,
abuse@kernel.ai,kernel.ai,tier1-2-smtp,
abuse@kevel.com,kevel.com,tier1-2-smtp,
abuse@keywordtool.io,keywordtool.io,tier1-2-smtp,
abuse@kinesis.org,kinesis.org,tier1-2-smtp,
abuse@kiosked.com,kiosked.com,tier1-2-smtp,
abuse@kissterra.com,kissterra.com,tier1-2-smtp,
abuse@kive.ai,kive.ai,tier1-2-smtp,
abuse@klaviyo.com,klaviyo.com,consensus-tier-A,https://www.klaviyo.com/contact-us
abuse@klubi.com.br,klubi.com.br,tier1-2-smtp,
abuse@knapsack.cloud,knapsack.cloud,tier1-2-smtp,
abuse@knocommerce.com,knocommerce.com,tier1-2-smtp,
abuse@knotch.com,knotch.com,tier1-2-smtp,
abuse@kogenta.com,kogenta.com,tier1-2-smtp,
abuse@konta.com,konta.com,tier1-2-smtp,
abuse@kotzilla.io,kotzilla.io,tier1-2-smtp,
abuse@kredfeed.com,kredfeed.com,tier1-2-smtp,
abuse@kubit.ai,kubit.ai,tier1-2-smtp,
abuse@kuradashi.jp,kuradashi.jp,tier1-2-smtp,
abuse@kynship.co,kynship.co,tier1-2-smtp,
abuse@laferla.com.mt,laferla.com.mt,tier1-2-smtp,
abuse@lambdatest.com,lambdatest.com,tier1-2-smtp,
abuse@landstack.co.uk,landstack.co.uk,tier1-2-smtp,
abuse@lanterne.ai,lanterne.ai,tier1-2-smtp,
abuse@lasso.ai,lasso.ai,tier1-2-smtp,
abuse@leanmote.com,leanmote.com,tier1-2-smtp,
abuse@legalmike.ai,legalmike.ai,tier1-2-smtp,
abuse@leonardo.ai,leonardo.ai,tier1-2-smtp,
abuse@levels.fyi,levels.fyi,tier1-2-smtp,
abuse@levelupgroup.nl,levelupgroup.nl,tier1-2-smtp,
abuse@leverest.net,leverest.net,tier1-2-smtp,
abuse@levo.ai,levo.ai,tier1-2-smtp,
abuse@lhdottie.com,lhdottie.com,tier1-2-smtp,
abuse@lickd.co,lickd.co,tier1-2-smtp,
abuse@lightbase.co,lightbase.co,tier1-2-smtp,
abuse@lightmetrics.co,lightmetrics.co,tier1-2-smtp,
abuse@lilt.com,lilt.com,tier1-2-smtp,
abuse@limacharlie.io,limacharlie.io,tier1-2-smtp,
abuse@limbomusic.com,limbomusic.com,tier1-2-smtp,
abuse@liminal.co,liminal.co,tier1-2-smtp,
abuse@link37.org,link37.org,tier1-2-smtp,
abuse@listenlabs.ai,listenlabs.ai,tier1-2-smtp,
abuse@littlebird.ai,littlebird.ai,tier1-2-smtp,
abuse@liveplan.com,liveplan.com,tier1-2-smtp,
abuse@liverem.com,liverem.com,tier1-2-smtp,
abuse@liveseo.com.br,liveseo.com.br,tier1-2-smtp,
abuse@llamaindex.ai,llamaindex.ai,tier1-2-smtp,
abuse@lnk.bio,lnk.bio,tier1-2-smtp,
abuse@loadshare.net,loadshare.net,tier1-2-smtp,
abuse@loft47.com,loft47.com,tier1-2-smtp,
abuse@logto.io,logto.io,tier1-2-smtp,
abuse@lokalise.com,lokalise.com,tier1-2-smtp,
abuse@loopboard.io,loopboard.io,tier1-2-smtp,
abuse@lorikeetcx.ai,lorikeetcx.ai,tier1-2-smtp,
abuse@lovable.dev,lovable.dev,consensus-tier-A,https://lovable.dev/abuse
abuse@lovepopcards.com,lovepopcards.com,tier1-2-smtp,
abuse@lumar.io,lumar.io,tier1-2-smtp,
abuse@luminpdf.com,luminpdf.com,tier1-2-smtp,
abuse@mailkit.com,mailkit.com,tier1-2-smtp,
abuse@make.com,make.com,tier1-2-smtp,
abuse@manatal.com,manatal.com,tier1-2-smtp,
