domain,email,tier,tier_label
agrisafe.agr.br,ola@agrisafe.agr.br,Sx-b,Single-word local
ahaslides.com,abuse@ahaslides.com,S3,Abuse / trust / safety
ahaslides.com,hi@ahaslides.com,S9,Generic info / contact
aheadcomputing.com,info@aheadcomputing.com,S9
aibox.ai,security@aibox.ai,S2
aibox.ai,support@aibox.ai,S8
aico.swiss,support@aico.swiss,S8
aimfox.com,abuse@aimfox.com,S3,Abuse / trust / safety
airbridge.io,abuse@airbridge.io,S3,Abuse / trust / safety
airframe.ai,abuse@airframe.ai,S3,Abuse / trust / safety
airframe.ai,hello@airframe.ai,S9,Generic info / contact
airpay.co.in,customercare@airpay.co.in,S8,Support / help
airpay.co.in,customerservice@airpay.co.in,S8,Support / help
airpay.co.in,cards@airpay.co.in,Sx-b,Single-word local
airpay.co.in,dispute@airpay.co.in,Sx-b,Single-word local
airsaas.io,security@airsaas.io,S2,Security
airsaas.io,abuse@airsaas.io,S3,Abuse / trust / safety
airtable.com,security@airtable.com,S2,Security
aiseo.ai,abuse@aiseo.ai,S3,Abuse / trust / safety
aiseo.ai,support@aiseo.ai,S8,Support / help
aivideo.com,abuse@aivideo.com,S3,Abuse / trust / safety
akamai.com,security@akamai.com,S2,Security
akamai.com,abuse@akamai.com,S3,Abuse / trust / safety
akiflow.com,abuse@akiflow.com,S3,Abuse / trust / safety
akiflow.com,support@akiflow.com,S8,Support / help
alamah.om,abuse@alamah.om,S3,Abuse / trust / safety
alamah.om,info@alamah.om,S9,Generic info / contact
alchemy.com,certmaster@alchemy.com,S1,PSIRT / CERT / SOC
alchemy.com,security@alchemy.com,S2,Security
alchemy.com,support@alchemy.com,S8,Support / help
alegra.com,abuse@alegra.com,S3,Abuse / trust / safety
alegra.com,support@alegra.com,S8,Support / help
alegra.com,info@alegra.com,S9,Generic info / contact
alegra.com,soporte@alegra.com,Sx-b,Single-word local
aleluya.com,abuse@aleluya.com,S3,Abuse / trust / safety
aleluya.com,soporte@aleluya.com,Sx-b,Single-word local
alex.com,support@alex.com,S8
algoed.co,my_dmarc_report@algoed.co,Sx-c,DMARC reporting
algolia.com,security@algolia.com,S2,Security
algolia.com,abuse@algolia.com,S3,Abuse / trust / safety
algolia.com,legal@algolia.com,S5,Legal / compliance
allaboard.eu,privacy@allaboard.eu,S4,Privacy / DPO / GDPR
allbridge.io,support@allbridge.io,S8
allbridge.io,info@allbridge.io,S9
allears.ai,abuse@allears.ai,S3,Abuse / trust / safety
allegrow.co,info@allegrow.co,S9,Generic info / contact
allianceabroad.com,africainfo@allianceabroad.com,S9,Generic info / contact
allocate.co,security@allocate.co,S2,Security
allocate.co,abuse@allocate.co,S3,Abuse / trust / safety
alloy.app,security@alloy.app,S2,Security
alloy.app,abuse@alloy.app,S3,Abuse / trust / safety
alloy.app,support@alloy.app,S8,Support / help
allunite.com,info@allunite.com,S9,Generic info / contact
allunite.com,aus@allunite.com,Sx-b,Single-word local
allunite.com,bra@allunite.com,Sx-b,Single-word local
allunite.com,den@allunite.com,Sx-b,Single-word local
allunite.com,ita@allunite.com,Sx-b,Single-word local
allunite.com,rafe@allunite.com,Sx-b,Single-word local
allunite.com,sarai@allunite.com,Sx-b,Single-word local
allunite.com,ukr@allunite.com,Sx-b,Single-word local
allunite.com,usa@allunite.com,Sx-b,Single-word local
alma.food,abuse@alma.food,S3,Abuse / trust / safety
alphavantage.co,abuse@alphavantage.co,S3,Abuse / trust / safety
alpic.ai,charles@alpic.ai,Sx-b,Single-word local
alpic.ai,erica@alpic.ai,Sx-b,Single-word local
alpic.ai,fred@alpic.ai,Sx-b,Single-word local
alpic.ai,nikolay@alpic.ai,Sx-b,Single-word local
altertable.ai,security@altertable.ai,S2,Security
altfndata.com,abuse@altfndata.com,S3,Abuse / trust / safety
altfndata.com,support@altfndata.com,S8,Support / help
altfndata.com,info@altfndata.com,S9,Generic info / contact
altuspower.com,security@altuspower.com,S2,Security
altuspower.com,abuse@altuspower.com,S3,Abuse / trust / safety
altuspower.com,hello@altuspower.com,S9,Generic info / contact
amalgamrx.com,contact@amalgamrx.com,S9
amalgamrx.com,privacy@amalgamrx.com,S4
amass.tech,abuse@amass.tech,S3,Abuse / trust / safety
amass.tech,support@amass.tech,S8,Support / help
amass.tech,hello@amass.tech,S9,Generic info / contact
ambarpartners.com,security@ambarpartners.com,S2,Security
amityage.com,hello@amityage.com,S9,Generic info / contact
amityage.com,info@amityage.com,S9,Generic info / contact
amityage.com,educatiion@amityage.com,Sx-b,Single-word local
amityage.com,education@amityage.com,Sx-b,Single-word local
amityage.com,fs@amityage.com,Sx-b,Single-word local
ammp.io,security@ammp.io,S2,Security
ammp.io,hello@ammp.io,S9,Generic info / contact
ammp.io,info@ammp.io,S9,Generic info / contact
amove.io,contact@amove.io,S9
amperity.com,security@amperity.com,S2
amperity.com,privacy@amperity.com,S4
amplifier.com,security@amplifier.com,S2,Security
amplifier.com,abuse@amplifier.com,S3,Abuse / trust / safety
amplitude.com,security@amplitude.com,S2,Security
amplitude.com,support@amplitude.com,S8,Support / help
amplitude.com,scholarship@amplitude.com,S9,Generic info / contact
amplitude.com,ccpa@amplitude.com,S4,Privacy / DPO / GDPR
amplitude.com,privacy@amplitude.com,S4,Privacy / DPO / GDPR
amplitude.com,legal@amplitude.com,S5,Legal / compliance
amplitude.com,legalnotices@amplitude.com,S5,Legal / compliance
amt.ai,abuse@amt.ai,S3,Abuse / trust / safety
amt.ai,support@amt.ai,S8,Support / help
amt.ai,lyra@amt.ai,Sx-b,Single-word local
amt.ai,tisha@amt.ai,Sx-b,Single-word local
amt.ai,tom@amt.ai,Sx-b,Single-word local
and.com,abuse@and.com,S3,Abuse / trust / safety
and.com,hello@and.com,S9,Generic info / contact
andcapitalventures.com,chris@andcapitalventures.com,Sx-b,Single-word local
ando.so,abuse@ando.so,S3,Abuse / trust / safety
ando.so,hello@ando.so,S9,Generic info / contact
aneon.at,security@aneon.at,S2,Security
aneon.at,info@aneon.at,S9,Generic info / contact
animaj.com,security@animaj.com,S2,Security
animaj.com,abuse@animaj.com,S3,Abuse / trust / safety
anomalycapital.com,ir@anomalycapital.com,Sx-b,Single-word local
antbuddy.com,abuse@antbuddy.com,S3,Abuse / trust / safety
antbuddy.com,info@antbuddy.com,S9,Generic info / contact
antimetal.com,security@antimetal.com,S2,Security
antimetal.com,abuse@antimetal.com,S3,Abuse / trust / safety
antimetal.com,support@antimetal.com,S8,Support / help
antler.co,abuse@antler.co,S3,Abuse / trust / safety
antler.co,rike@antler.co,Sx-b,Single-word local
apaleo.com,security@apaleo.com,S2,Security
aparti.ai,security@aparti.ai,S2,Security
aparti.ai,abuse@aparti.ai,S3,Abuse / trust / safety
aparti.ai,support@aparti.ai,S8,Support / help
aparti.ai,privacy@aparti.ai,S4,Privacy / DPO / GDPR
aperture.london,abuse@aperture.london,S3,Abuse / trust / safety
apicbase.com,support@apicbase.com,S8
apify.com,security@apify.com,S2,Security
apify.com,hello@apify.com,S9,Generic info / contact
apono.io,security@apono.io,S2,Security
apono.io,abuse@apono.io,S3,Abuse / trust / safety
apono.io,support@apono.io,S8
appcues.com,security@appcues.com,S2,Security
appcues.com,support@appcues.com,S8,Support / help
appcues.com,legal@appcues.com,S5,Legal / compliance
appflow.ai,info@appflow.ai,S9,Generic info / contact
appflow.ai,bryan@appflow.ai,Sx-b,Single-word local
applypass.com,abuse@applypass.com,S3,Abuse / trust / safety
applypass.com,support@applypass.com,S8,Support / help
apter.com.br,dpo@apter.com.br,S4,Privacy / DPO / GDPR
apter.com.br,contato@apter.com.br,Sx-b,Single-word local
aqmen.ai,miguel@aqmen.ai,Sx-b,Single-word local
arcade.software,support@arcade.software,S8,Support / help
arcade.software,info@arcade.software,S9,Generic info / contact
archera.ai,abuse@archera.ai,S3,Abuse / trust / safety
archera.ai,support@archera.ai,S8,Support / help
archera.ai,info@archera.ai,S9,Generic info / contact
archera.ai,nikhil@archera.ai,S9,Generic info / contact
archilogic.com,security@archilogic.com,S2,Security
archilogic.com,abuse@archilogic.com,S3,Abuse / trust / safety
archilogic.com,places@archilogic.com,Sx-b,Single-word local
arcwise.app,contact@arcwise.app,S9
arcwise.app,info@arcwise.app,S9
are.na,security@are.na,S2,Security
are.na,abuse@are.na,S3,Abuse / trust / safety
are.na,help@are.na,S8,Support / help
are.na,cab@are.na,Sx-b,Single-word local
are.na,everyone@are.na,Sx-b,Single-word local
arena.com.tr,ir@arena.com.tr,Sx-b,Single-word local
arena.com.tr,administrator@arena.com.tr,Sx-d,Other / mixed
aries.com,security@aries.com,S2,Security
aries.com,abuse@aries.com,S3,Abuse / trust / safety
aris.in,abuse@aris.in,S3,Abuse / trust / safety
armature.tech,founders@armature.tech,Sx-b,Single-word local
aroya.io,support@aroya.io,S8,Support / help
arta.ch,info@arta.ch,S9,Generic info / contact
arta.ch,vente@arta.ch,Sx-b,Single-word local
artblocks.io,security@artblocks.io,S2,Security
artblocks.io,abuse@artblocks.io,S3,Abuse / trust / safety
artblocks.io,eng_auto_reports@artblocks.io,Sx-d,Other / mixed
artemis.ai,info@artemis.ai,S9
artemis.ai,team@artemis.xyz,Sx-a
arternal.com,abuse@arternal.com,S3,Abuse / trust / safety
articulate.com,security-disclosure@articulate.com,S0,Bug bounty / VDP
asana.com,security@asana.com,S2,Security
asana.com,legal@asana.com,S5,Legal / compliance
asana.com,dpa@asana.com,Sx-b,Single-word local
asana.com,x@mail.asana.com,Sx-d,Other / mixed
ascendancy.co,abuse@ascendancy.co,S3,Abuse / trust / safety
ashbyhq.com,security@ashbyhq.com,S2,Security
askable.com,viasecurity@askable.com,S2,Security
askable.com,support@askable.com,S8,Support / help
askable.com,privacy@askable.com,S4,Privacy / DPO / GDPR
askable.com,legal@askable.com,S5,Legal / compliance
askturing.ai,abuse@askturing.ai,S3,Abuse / trust / safety
askturing.ai,quarantine@askturing.ai,Sx-b,Single-word local
asmallstudio.com,abuse@asmallstudio.com,S3,Abuse / trust / safety
assembly.com,security@assembly.com,S2,Security
assembly.com,abuse@assembly.com,S3,Abuse / trust / safety
asteroid.ai,abuse@asteroid.ai,S3,Abuse / trust / safety
asteroid.ai,support@asteroid.ai,S8,Support / help
asteroid.ai,founders@asteroid.ai,Sx-b,Single-word local
astrologyapi.com,abuse@astrologyapi.com,S3,Abuse / trust / safety
athenium.com,support@athenium.com,S8,Support / help
athenium.com,info@athenium.com,S9,Generic info / contact
atlan.com,security@atlan.com,S2,Security
atlaspeople.io,abuse@atlaspeople.io,S3,Abuse / trust / safety
atlaspeople.io,support@atlaspeople.io,S8,Support / help
atlaspeople.io,contact@atlaspeople.io,S9,Generic info / contact
atlaspeople.io,legal@atlaspeople.io,S5,Legal / compliance
atlaspeople.io,research@atlaspeople.io,Sx-b,Single-word local
atlasx.co,security@atlasx.co,S2,Security
atlasx.co,abuse@atlasx.co,S3,Abuse / trust / safety
atlasx.co,support@atlasx.co,S8,Support / help
atlasx.co,team@atlasx.co,S9,Generic info / contact
atom.com,compliance@atom.com,S4
atom.com,legal@atom.com,S5
atomic.supply,info@atomic.supply,S9
atomic.supply,hello@atomic.supply,S8
atominvest.co,security@atominvest.co,S2,Security
atominvest.co,abuse@atominvest.co,S3,Abuse / trust / safety
atominvest.co,info@atominvest.co,S9,Generic info / contact
atominvest.co,emails@atominvest.co,Sx-b,Single-word local
atriumdata.ai,abuse@atriumdata.ai,S3,Abuse / trust / safety
attio.com,security@attio.com,S2,Security
attio.com,abuse@attio.com,S3,Abuse / trust / safety
attio.com,support@attio.com,S8
attributionapp.com,security@attributionapp.com,S2,Security
attributionapp.com,abuse@attributionapp.com,S3,Abuse / trust / safety
attributionapp.com,privacy@attributionapp.com,S4,Privacy / DPO / GDPR
audioscape.ai,abuse@audioscape.ai,S3,Abuse / trust / safety
aurelian.com,abuse@aurelian.com,S3,Abuse / trust / safety
aurelian.com,contact@aurelian.com,S9,Generic info / contact
austintechnology.com.au,support@austintechnology.com.au,S8,Support / help
austintechnology.com.au,tcareers@austintechnology.com.au,S8,Support / help
austintechnology.com.au,tsupport@austintechnology.com.au,S8,Support / help
austintechnology.com.au,tsales@austintechnology.com.au,S10,Sales / marketing / press
avertro.com,support@avertro.com,S8,Support / help
avertro.com,info@avertro.com,S9,Generic info / contact
avmap.it,support@avmap.it,S8
avo.app,security@avo.app,S2,Security
avo.app,abuse@avo.app,S3,Abuse / trust / safety
avo.app,support@avo.app,S8,Support / help
avo.app,hi@avo.app,S9,Generic info / contact
avoma.com,security@avoma.com,S2,Security
avoma.com,abuse@avoma.com,S3,Abuse / trust / safety
avoma.com,help@avoma.com,S8,Support / help
axify.io,info@axify.io,S9,Generic info / contact
axiocap.com,dpo@axiocap.com,S4
axiom.co,security@axiom.co,S2,Security
axiom.co,abuse@axiom.co,S3,Abuse / trust / safety
axiom.co,support@axiom.co,S8,Support / help
azion.com,security@azion.com,S2,Security
azion.com,abuse@azion.com,S3,Abuse / trust / safety
azion.com,dmark@azion.com,Sx-b,Single-word local
b.capital,info@b.capital,S9,Generic info / contact
b.capital,ir@b.capital,Sx-b,Single-word local
babbl-labs.com,security@babbl-labs.com,S2,Security
babbl-labs.com,abuse@babbl-labs.com,S3,Abuse / trust / safety
babyjourney.se,abuse@babyjourney.se,S3,Abuse / trust / safety
babyjourney.se,hello@babyjourney.se,S9,Generic info / contact
backstory.ai,security@backstory.ai,S2,Security
backstory.ai,support@backstory.ai,S8,Support / help
backstory.ai,askhr@backstory.ai,S9,Generic info / contact
backstory.ai,privacy@backstory.ai,S4,Privacy / DPO / GDPR
backyardbrains.com,abuse@backyardbrains.com,S3,Abuse / trust / safety
backyardbrains.com,hello@backyardbrains.com,S9,Generic info / contact
badgermapping.com,dpo@badgermapping.com,S4,Privacy / DPO / GDPR
badideas.fund,abuse@badideas.fund,S3,Abuse / trust / safety
badideas.fund,r@badideas.fund,Sx-d,Other / mixed
bagel.ai,support@bagel.ai,S8,Support / help
bajajbroking.in,customerservicehead@bajajbroking.in,S8,Support / help
bajajbroking.in,connect@bajajbroking.in,S9,Generic info / contact
bajajbroking.in,compliance_dp@bajajbroking.in,S5,Legal / compliance
bajajbroking.in,compliance_sec@bajajbroking.in,S5,Legal / compliance
bajajbroking.in,md@bajajbroking.in,Sx-b,Single-word local
base39.com.br,dmarc-failures@base39.com.br,Sx-c,DMARC reporting
base39.com.br,dmarc-reports@base39.com.br,Sx-c,DMARC reporting
basicops.com,abuse@basicops.com,S3,Abuse / trust / safety
basicops.com,contact@basicops.com,S9,Generic info / contact
baston.com.br,sac@baston.com.br,Sx-b,Single-word local
battery.com,compliance@battery.com,S5,Legal / compliance
baxtel.com,dmarc@baxtel.com,Sx-c,DMARC reporting
bazze.io,security@bazze.io,S2,Security
bazze.io,abuse@bazze.io,S3,Abuse / trust / safety
bdex.com,dmarc-afrf@bdex.com,Sx-c,DMARC reporting
bdex.com,dmarc-aggregate@bdex.com,Sx-c,DMARC reporting
bdg.io,info@bdg.io,S9
bdtax.com.bd,abuse@bdtax.com.bd,S3,Abuse / trust / safety
bdtax.com.bd,support@bdtax.com.bd,S8,Support / help
bdtax.com.bd,info@bdtax.com.bd,S9,Generic info / contact
beachbossinfluencers.com,support@beachbossinfluencers.com,S8,Support / help
beaufort12.com,support@beaufort12.com,S8
beaufort12.com,info@beaufort12.com,S9
beautech.aero,security@beautech.aero,S2,Security
bebakids.com,bigfashion@shops.bebakids.com,S9,Generic info / contact
bebakids.com,bigfashionns@shops.bebakids.com,S9,Generic info / contact
bebakids.com,premium@shops.bebakids.com,S10,Sales / marketing / press
bebakids.com,no-reply@bebakids.com,Sx-a,Real-person name
bebakids.com,ada@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,beo@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,big@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,bw@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,cacak@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,immo@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,indjija@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,knez@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,kraljevo@bebakids.com,Sx-b,Single-word local
bebakids.com,merkator@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,obrenovac@bebakids.com,Sx-b,Single-word local
bebakids.com,pozarevac@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,sabac@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,smederevo@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,sombor@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,stadion@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,ub@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,usce@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,uzice@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,valjevo@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,vrsac@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,webshop@bebakids.com,Sx-b,Single-word local
bebakids.com,zemun@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,zlatibor@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,zmajjova@shops.bebakids.com,Sx-b,Single-word local
bebakids.com,delta22@shops.bebakids.com,Sx-d,Other / mixed
bebakids.com,delta23@shops.bebakids.com,Sx-d,Other / mixed
bebakids.com,kragujevac2@shops.bebakids.com,Sx-d,Other / mixed
beemdata.com,security@beemdata.com,S2,Security
beemdata.com,abuse@beemdata.com,S3,Abuse / trust / safety
beemdata.com,team@beemdata.com,S9,Generic info / contact
begolden.com.pl,biuro@begolden.com.pl,S9,Generic info / contact
bei-us.com,grgrayban@bei-us.com,Sx-b,Single-word local
bellwetherit.com,abuse@bellwetherit.com,S3,Abuse / trust / safety
benchmarkminerals.com,office@benchmarkminerals.com,S9,Generic info / contact
benchmarkminerals.com,solufunwa@benchmarkminerals.com,Sx-b,Single-word local
besample.app,hostmaster@besample.app,S7,Admin / postmaster
betterbugs.io,security@betterbugs.io,S2,Security
betterbugs.io,abuse@betterbugs.io,S3,Abuse / trust / safety
betterbugs.io,support@betterbugs.io,S8,Support / help
betterleap.com,support@betterleap.com,S8,Support / help
betterleap.com,hello@betterleap.com,S9,Generic info / contact
betterstack.com,security@betterstack.com,S2,Security
betterstack.com,hello@betterstack.com,S9,Generic info / contact
bfl.ai,support@blackforestlabs.ai,S8
bidprime.com,bounce@bidprime.com,Sx-b,Single-word local
bigdata.com,security@bigdata.com,S2,Security
bigdata.com,abuse@bigdata.com,S3,Abuse / trust / safety
bigenius-x.com,cs@bigenius-x.com,S8,Support / help
biggeo.com,security@biggeo.com,S2,Security
biggeo.com,abuse@biggeo.com,S3,Abuse / trust / safety
bigvu.tv,abuse@bigvu.tv,S3,Abuse / trust / safety
bigvu.tv,support@bigvu.tv,S8,Support / help
bigvu.tv,no-reply@bigvu.tv,Sx-a,Real-person name
billygrace.com,mailsecurity@billygrace.com,S2,Security
billygrace.com,abuse@billygrace.com,S3,Abuse / trust / safety
binclusive.io,info@binclusive.io,S9
binderr.com,security@binderr.com,S2,Security
binderr.com,abuse@binderr.com,S3,Abuse / trust / safety
binderr.com,support@binderr.com,S8,Support / help
bitmovin.com,security@bitmovin.com,S2,Security
bitmovin.com,abuse@bitmovin.com,S3,Abuse / trust / safety
bitquery.io,abuse@bitquery.io,S3,Abuse / trust / safety
bitquery.io,support@bitquery.io,S8,Support / help
bitrise.io,security@bitrise.io,S2,Security
bizaway.com,dmarc@bizaway.com,Sx-c,DMARC reporting
bizstream.com,ops@bizstream.com,S7,Admin / postmaster
blazesql.com,support@blazesql.com,S8,Support / help
blazesql.com,enterprise@blazesql.com,S10,Sales / marketing / press
blend-ai.com,abuse@blend-ai.com,S3,Abuse / trust / safety
blend-ai.com,info@blend-ai.com,S9,Generic info / contact
blockscholes.com,abuse@blockscholes.com,S3,Abuse / trust / safety
blockscholes.com,info@blockscholes.com,S9,Generic info / contact
blockscholes.com,bmiller@blockscholes.com,Sx-b,Single-word local
blocksize.info,info@blocksize.capital,S9
bloomberg.com,opensource@bloomberg.net,Sx-d
bloomreach.com,securityreporting@bloomreach.com,S2,Security
bluegamma.io,support@bluegamma.io,S8,Support / help
bluegamma.io,johndoe@bluegamma.io,Sx-b,Single-word local
bluente.com,abuse@bluente.com,S3,Abuse / trust / safety
bluente.com,support@bluente.com,S8,Support / help
bluetriangle.com,security@bluetriangle.com,S2,Security
bluetriangle.com,support@bluetriangle.com,S8,Support / help
bluetriangle.com,info@bluetriangle.com,S9,Generic info / contact
bnicapital.com,contact@bnicapital.com,S9,Generic info / contact
bonafide.ai,abuse@bonafide.ai,S3,Abuse / trust / safety
bonafide.ai,hello@bonafide.ai,S9,Generic info / contact
bonnie.ai,hello@bonni.co,S8
bonuz.market,security@bonuz.market,S2,Security
bonuz.market,support@bonuz.market,S8,Support / help
bonuz.market,hello@bonuz.market,S9,Generic info / contact
boom.nl,security@boom.nl,S2,Security
boompop.com,no-reply@boompop.com,Sx-a,Real-person name
bounceinsights.com,security@bounceinsights.com,S2,Security
bounceinsights.com,info@bounceinsights.com,S9,Generic info / contact
brainfab.com,abuse@brainfab.com,S3,Abuse / trust / safety
brale.xyz,security@brale.xyz,S2,Security
branch.co,security@branch.co,S2,Security
branch.co,abuse@branch.co,S3,Abuse / trust / safety
brandient.com,admin@brandient.com,S7,Admin / postmaster
brandsmeetcreators.com,dmarc-alert@brandsmeetcreators.com,Sx-c,DMARC reporting
breakthroughsales.io,security@breakthroughsales.io,S2,Security
breakthroughsales.io,abuse@breakthroughsales.io,S3,Abuse / trust / safety
breakthroughsales.io,support@breakthroughsales.io,S8,Support / help
breakthroughsales.io,contact@breakthroughsales.io,S9,Generic info / contact
breezy.hr,info@breezy.hr,S9
brevo.com,security@brevo.com,S2,Security
brevo.com,abuse@brevo.com,S3,Abuse / trust / safety
bridgemarketplace.com,support@bridgemarketplace.com,S8,Support / help
briecomterobert.fr,dpo@briecomterobert.fr,S4
brightedge.com,privacy@brightedge.com,S4,Privacy / DPO / GDPR
brightidea.com,support@brightidea.com,S8,Support / help
