domain,top_email,tier,score,source_count,sources,source_urls,top_snippet,all_candidates
abundolive.se,info@abundolive.se,B,3,1,direct,https://abundolive.se/privacy | https://abundolive.se/terms,"-text\""\u003eTelefon: 0222-281 10\u003c/div\u003e\u003cdiv class=\""b b-text p-f-text\""\u003eE-Mail: info@abundolive.se\""\u003c/div\u003e"",""en"":""\u003cdiv class=\""b b-title p-f-new-heading\""\u003e\u003","info@abundolive.se(B,3,direct); support@abundolive.se(B,3,direct)"
accelera.tech,info@accelera.tech,B,3,1,direct,https://accelera.tech/ | https://accelera.tech/contact,"rectly?</p><div class=""flex flex-col sm:flex-row items-center justify-center gap-6""><a href=""mailto:info@accelera.tech"" class=""text-sm font-medium transition-colors hover:opacity-70"" style=""color:#333","info@accelera.tech(B,3,direct)"
accessowl.com,,,0,0,,,,
acclinate.com,compliance@acclinate.com,B,3,1,direct,https://www.acclinate.com/privacy,"ies. If you have any questions regarding this Privacy Policy, please contact us at <a href=""mailto:compliance@acclinate.com"">compliance@acclinate.com</a>. </p><p>By accessing the Services, you agree t","compliance@acclinate.com(B,3,direct); info@acclinate.com(B,3,direct)"
aceworks.ai,recruit@aceworks.ai,B,3,1,direct,https://www.aceworks.ai/contact,"ont-weight:normal;"" class=""wixui-rich-text__text"">채용 : <a data-auto-recognition=""true"" href=""mailto:recruit@aceworks.ai"" class=""wixui-rich-text__text"">recruit@aceworks.ai</a></span></span></span></spa","recruit@aceworks.ai(B,3,direct); support@aceworks.ai(B,3,direct)"
aclarian.com,alaflin@aclarian.com,B,3,1,direct,https://aclarian.com/security | https://aclarian.com/security/,"of a security issue. Suspected incidents are reported to <a _ngcontent-ng-c3308403411 href=""mailto:alaflin@aclarian.com"">alaflin@aclarian.com</a> and handled with urgency. For anonymous reporting, we ","alaflin@aclarian.com(B,3,direct); info@aclarian.com(B,3,direct); support@aclarian.com(B,3,direct)"
adalo.com,support@adalo.com,B,3,1,direct,https://www.adalo.com/privacy | https://www.adalo.com/terms,"ns about this Privacy Policy, please contact us at:</p> <p> <strong>Email:</strong> <a href=""mailto:support@adalo.com"">support@adalo.com</a><br> <strong>Address:</strong><br> Adalo, Inc.<br> 911 Washi","support@adalo.com(B,3,direct)"
adaptic.no,mail@adaptic.no,B,3,1,direct,https://adaptic.no/ | https://adaptic.no/#contact,"data-v-763cd292><!--[--><p>Vi er alltid på jakt etter flink folk! Send oss gjerne en åpen søknad på mail@adaptic.no, med litt informasjon om deg selv og hvorfor du tror vi kan være en god match!</p><!","mail@adaptic.no(B,3,direct)"
adlabs.app,,,0,0,,,,
admanage.ai,raph@admanage.ai,B,3,1,direct,https://admanage.ai/privacy | https://admanage.ai/terms,"""To exercise any of these rights, please contact us at\"",\"" \"",[\""$\"",\""a\"",null,{\""href\"":\""mailto:raph@admanage.ai\"",\""className\"":\""text-blue-600 underline hover:text-blue-800\"",\""children\"":\""raph","raph@admanage.ai(B,3,direct)"
adologyai.com,hello@adologyai.com,B,3,1,direct,https://adologyai.com/ | https://adologyai.com/privacy,"latform that transforms raw social data into marketing strategies that actually work."", ""email"": ""hello@adologyai.com"", ""sameAs"": [ ""https://www.linkedin.com/company/adology-ai/"", ""https://x.com/adolo","hello@adologyai.com(B,3,direct)"
adomik.com,,,0,0,,,,
adopt.ai,info@adopt.ai,B,3,1,direct,https://www.adopt.ai/ | https://www.adopt.ai/privacy,"Experience for your Application"", ""url"": ""https://www.adopt.ai/"", ""email"": ""info@adopt.ai"", ""image"": ""https://cdn.prod.website-files.com/6805f81793e1bc968baa1b93/681c7d76e1bb96e","info@adopt.ai(B,3,direct); privacy@adopt.ai(B,3,direct)"
adp.com,,,0,0,,,,
adplenty.io,contact@adplenty.io,B,3,1,direct,https://www.adplenty.io/contact,"pre-wrap;"">Email</h4><p class="""" style=""white-space:pre-wrap;"">General Inquiries<br><a href=""mailto:contact@adplenty.io?"" target=""_blank"">contact@adplenty.io</a></p><p class="""" style=""white-space:pre-","contact@adplenty.io(B,3,direct); susan@adplenty.io(B,3,direct)"
adplist.org,partnerships@adplist.org,B,3,1,direct,https://adplist.org/,"//adplist.org/about-us"">About us</a><a href=""mailto:support@adplist.org"">Contact</a><a href=""mailto:partnerships@adplist.org"">Partnership</a><a href=""http://blog.adplist.org"">Blog</a></div></div><div ","partnerships@adplist.org(B,3,direct); support@adplist.org(B,3,direct)"
adscale.com,,,0,0,,,,
adthena.com,info@adthena.com,B,3,1,direct,https://www.adthena.com/company/contact-us/ | https://www.adthena.com/privacy-policy/,"in touch"",""page_content_3_columns_0_title"":""General Enquiries"",""page_content_3_columns_0_content"":""info@adthena.com"",""page_content_3_columns_0_link"":"""",""page_content_3_columns_1_title"":""Customer Suppo","info@adthena.com(B,3,direct); marketing@adthena.com(B,3,direct); media@adthena.com(B,3,direct); ninfo@adthena.com(B,3,direct); privacy@adthena.com(B,3,direct); support@adthena.com(B,3,direct)"
advally.com,,,0,0,,,,
adverteyes.ai,info@adverteyes.ai,B,3,1,direct,https://adverteyes.ai/privacy-cookies/,"ware, United States (principal address: 13 W Main Street, Felton, DE 19943, United States, contact: info@Adverteyes.ai). We comply with applicable data protection requirements, including the European ","info@adverteyes.ai(B,3,direct)"
adzen.ai,,,0,0,,,,
aeroventures.com,,,0,0,,,,
affinity.co,hr@affinity.co,B,3,1,direct,https://www.affinity.co/contact-us,"Need employee verification or to get in contact with our HR? </strong>Contact us at <a href=""mailto:hr@affinity.co"">hr@affinity.co</a>.</p></div></div></div></div><div id=""w-node-af31dc24-7260-9af1-7b","hr@affinity.co(B,3,direct); info@affinity.co(B,3,direct); marketing@affinity.co(B,3,direct); press@affinity.co(B,3,direct); privacy@affinity.co(B,3,direct); sales@affinity.co(B,3,direct)"
affise.com,,,0,0,,,,
agency.inc,privacy@agency.inc,B,3,1,direct,https://www.agency.inc/privacy,"eting Your Data</strong></p><p><strong>Website users: </strong>Please contact us at <a href=""mailto:privacy@agency.inc"">privacy@agency.inc</a> to request deletion of your data and/or to opt out of any","privacy@agency.inc(B,3,direct)"
agent.ai,,,0,0,,,,
agenticflow.ai,support@agenticflow.ai,B,3,1,direct,https://agenticflow.ai/,"ren\"":\""Case Studies\""}]}],[\""$\"",\""li\"",null,{\""children\"":[\""$\"",\""$L11\"",null,{\""href\"":\""mailto:support@agenticflow.ai\"",\""className\"":\""transition-all text-gray-700 hover:text-blue-700 hover:bg-b","support@agenticflow.ai(B,3,direct)"
agentmail.to,,,0,0,,,,
agicap.com,bugbounty@agicap.com,A,5,1,direct,https://agicap.com/.well-known/security.txt,"Contact: mailto:bugbounty@agicap.com Expires: 2026-12-31T11:59:00Z Policy: https://agicap.com/en/bug-bounty/ Preferred-Languages: en, fr","bugbounty@agicap.com(A,5,direct)"
agrexai.com,arush@agrexai.com,B,3,1,direct,https://www.agrexai.com/ | https://www.agrexai.com/contact-us/ | https://www.agrexai.com/privacy-statement-eu/,"rex-ai"",""https://www.youtube.com/@agrextechnologies"",""https://www.instagram.com/agrex.ai""],""email"":""arush@agrexai.com"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""C-152, Sector 17, Dwarka"",""ad","arush@agrexai.com(B,3,direct)"
agrisafe.agr.br,ola@agrisafe.agr.br,B,3,1,direct,https://www.agrisafe.agr.br/pt,"t"":{""@type"":""ContactPoint"",""telephone"":""+55-11-3045-0704"",""contactType"":""customer service"",""email"":""ola@agrisafe.agr.br""},""sameAs"":[""https://www.linkedin.com/company/agrisafefin"",""https://www.instagra","ola@agrisafe.agr.br(B,3,direct)"
ahaslides.com,hi@ahaslides.com,B,3,1,direct,https://ahaslides.com/ | https://ahaslides.com/contact-us/,"{ ""@type"": ""ContactPoint"", ""contactType"": ""customer support"", ""email"": ""hi@ahaslides.com"", ""url"": ""https://ahaslides.com/contact-us/"" }, { ""@type"": ""ContactPoin","hi@ahaslides.com(B,3,direct); sales@ahaslides.com(B,3,direct)"
aheadcomputing.com,,,0,0,,,,
aibox.ai,,,0,0,,,,
aico.swiss,,,0,0,,,,
aimfox.com,,,0,0,,,,
airbridge.io,,,0,0,,,,
airframe.ai,hello@airframe.ai,B,3,1,direct,https://www.airframe.ai/,"ription"":""The AI transformation copilot for the leaders running AI inside the enterprise."",""email"":""hello@airframe.ai"",""sameAs"":[""https://www.linkedin.com/company/airframe-ai""],""founder"":[{""@type"":""Pe","hello@airframe.ai(B,3,direct)"
airpay.co.in,cards@airpay.co.in,B,3,1,direct,https://airpay.co.in/contact-us,"<p>Cards Support Email:</p> <p><a href=""mailto:cards@airpay.co.in"" class=""fw-bold"">cards@airpay.co.in</a></p> </div>","cards@airpay.co.in(B,3,direct); customercare@airpay.co.in(B,3,direct); customerservice@airpay.co.in(B,3,direct); dispute@airpay.co.in(B,3,direct)"
airsaas.io,,,0,0,,,,
airtable.com,security@airtable.com,A,5,1,direct,https://airtable.com/.well-known/security.txt,report the # issue on our HackerOne bug bounty program at hackerone.com/airtable or contact # us at security@airtable.com. Contact: security@airtable.com Permission: none Policy: https://hackerone.com,"security@airtable.com(A,5,direct)"
aiseo.ai,support@aiseo.ai,B,3,1,direct,https://aiseo.ai/ | https://aiseo.ai/contact | https://aiseo.ai/terms,"t at the right bottom of the website. Or send an email to:\""}],[\""$\"",\""a\"",null,{\""href\"":\""mailto:support@aiseo.ai\"",\""className\"":\""text-blue-600 hover:underline\"",\""children\"":\""support@aiseo.ai\""","support@aiseo.ai(B,3,direct)"
aivideo.com,,,0,0,,,,
akamai.com,,,0,0,,,,
akiflow.com,support@akiflow.com,B,3,1,direct,https://product.akiflow.com/help/articles/9413118-security,"f you believe you have found a security vulnerability, please report it by emailing <a href=""mailto:support@akiflow.com"" target=""_blank"" class=""cursor-pointer decorated-link"" rel=""noopener noreferrer ","support@akiflow.com(B,3,direct); u003esupport@akiflow.com(B,3,direct)"
alamah.om,info@alamah.om,B,3,1,direct,https://alamah.om/ | https://alamah.om/contact/,"t"" data-widget_type=""text-editor.default""> <div class=""elementor-widget-container""> <p>info@alamah.om</p> </div> </div> </div> </div> </div> <div class=""elementor-element eleme","info@alamah.om(B,3,direct)"
alchemy.com,security@alchemy.com,A,5,1,direct,https://www.alchemy.com/security,"tices. If you identified a security issue with Alchemy, please report them through support or email security@alchemy.com.""/><link rel=""canonical"" href=""https://www.alchemy.com/security""/><meta propert","security@alchemy.com(A,5,direct); media@alchemy.com(B,3,direct); support@alchemy.com(B,3,direct)"
alegra.com,info@alegra.com,B,3,1,direct,https://alegra.com/legal/terminos-y-condiciones/,"iatamente a Alegra de cualquier cambio en su situación tributaria o empresarial, mediante el correo info@alegra.com.</p> <p>El usuario comprende y acepta que, en caso de utilizar la plataforma con fin","info@alegra.com(B,3,direct); soporte@alegra.com(B,3,direct); support@alegra.com(B,3,direct)"
aleluya.com,soporte@aleluya.com,B,3,1,direct,https://aleluya.com/,"opacity hover:opacity-80 hover:no-underline"" target=""_blank"" rel=""noopener noreferrer"" href=""mailto:soporte@aleluya.com""><svg width=""18"" height=""18"" viewBox=""0 0 24 24"" fill=""none"" aria-hidden=""true"">","soporte@aleluya.com(B,3,direct)"
alex.com,,,0,0,,,,
algoed.co,,,0,0,,,,
algolia.com,billing@algolia.com,B,3,1,direct,https://www.algolia.com/contact,"<div class=""font-sora button last:me-0 inline-flex w-fit group""> <a href=""mailto:billing@algolia.com"" data-finalurl=""mailto:billing@algolia.com"" data-modal-id=""modal_7e3ca866-0765-","billing@algolia.com(B,3,direct); legal@algolia.com(B,3,direct); partners@algolia.com(B,3,direct)"
allaboard.eu,privacy@allaboard.eu,B,3,1,direct,https://allaboard.eu/privacy,"stions or concerns about our use of your personal data, please contact our D.P.O. at <a href=mailto:privacy@allaboard.eu target=_blank rel=noopener noreferrer>privacy@allaboard.eu</a>.</p><!----><!--]","privacy@allaboard.eu(B,3,direct); tech@allaboard.eu(B,3,direct)"
allbridge.io,,,0,0,,,,
allears.ai,,,0,0,,,,
allegrow.co,,,0,0,,,,
allianceabroad.com,africainfo@allianceabroad.com,B,3,1,direct,https://allianceabroad.com/contact-us/,"t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\tS. Africa\n\t\t\t\t\t31 Bell CrescentCape Town 9745, South Africainfo@allianceabroad.com\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\","africainfo@allianceabroad.com(B,3,direct)"
allocate.co,,,0,0,,,,
alloy.app,security@alloy.app,A,5,1,direct,https://alloy.app/security,"cumentation. If you have any questions, please don&#x27;t hesitate to contact us at <a href=""mailto:security@alloy.app"">security@alloy.app</a>.</p></section><section><h2>Significant investment in our ","security@alloy.app(A,5,direct); support@alloy.app(B,3,direct); u003esupport@alloy.app(B,3,direct)"
allunite.com,aus@allunite.com,B,3,1,direct,https://allunite.com/ | https://allunite.com/contact-us/ | https://allunite.com/privacy/,"font-weight: 400;"">+61 288800297</span><span style=""font-weight: 400;""><br /></span><a href=""mailto:aus@allunite.com""><span style=""font-weight: 400;"">aus@allunite.com</span></a></p></div></div></div><","aus@allunite.com(B,3,direct); bra@allunite.com(B,3,direct); den@allunite.com(B,3,direct); info@allunite.com(B,3,direct); ita@allunite.com(B,3,direct); kristina.rudoman@allunite.com(B,3,direct)"
alma.food,,,0,0,,,,
alphavantage.co,,,0,0,,,,
alpic.ai,,,0,0,,,,
alterdomus.com,,,0,0,,,,
altertable.ai,security@altertable.ai,A,5,1,direct,https://altertable.ai/.well-known/security.txt,"ponsibility, and collaboration—so if you find a vulnerability, please let us know. Contact: mailto:security@altertable.ai Policy: https://altertable.ai/security-policy Hiring: https://altertable.ai/ca","security@altertable.ai(A,5,direct)"
altfndata.com,info@altfndata.com,B,3,1,direct,https://altfndata.com/ | https://altfndata.com/contact-us,"risk. ALT/FNDATA disclaims liability for losses arising from use of its data. For inquiries contact info@altfndata.com.</p> <div class=""altfn-footer-legal""> <span>&copy; 2026 ALT/FNDATA. All rights re","info@altfndata.com(B,3,direct); support@altfndata.com(B,3,direct)"
altuspower.com,hello@altuspower.com,B,3,1,direct,https://www.altuspower.com/contact,"ght=""20"" fill=""currentColor""/> </clipPath> </defs> </svg></div><div fs-copyclip-element=""copy-this"">hello@altuspower.com</div></a></div></div></div><a href=""mailto:hello@altuspower.com?subject=Hello%2","hello@altuspower.com(B,3,direct)"
amalgamrx.com,,,0,0,,,,
amass.tech,hello@amass.tech,B,3,1,direct,https://amass.tech/contact,"=""text-foreground hover:text-brand-red transition-colors underline underline-offset-2"" href=""mailto:hello@amass.tech"">hello@amass.tech</a> <!-- -->and the right person will reply within one business d","hello@amass.tech(B,3,direct); support@amass.tech(B,3,direct)"
ambarpartners.com,,,0,0,,,,
amityage.com,educatiion@amityage.com,B,3,1,direct,https://www.amityage.com/contact,erve-empty=\&quot;true\&quot; style=\&quot;white-space:pre-wrap;\&quot;&gt;&lt;a href=\&quot;mailto:educatiion@amityage.com?\&quot;&gt;education@amityage.com&lt;\/a&gt;&lt;\/p&gt;&lt;p class=\&quot;\&,"educatiion@amityage.com(B,3,direct); education@amityage.com(B,3,direct); fs@amityage.com(B,3,direct); hello@amityage.com(B,3,direct); info@amityage.com(B,3,direct)"
ammp.io,hello@ammp.io,B,3,1,direct,https://www.ammp.io/ | https://www.ammp.io/.well-known/dnt-policy.txt | https://www.ammp.io/.well-known/security.txt,",""minValue"":10,""maxValue"":50},""contactPoint"":{""@type"":""ContactPoint"",""contactType"":""sales"",""email"":""hello@ammp.io"",""url"":""https://ammp.io/contact"",""availableLanguage"":[""English""]}}</script><script typ","hello@ammp.io(B,3,direct); info@ammp.io(B,3,direct); sales@ammp.io(B,3,direct)"
amove.io,,,0,0,,,,
amperity.com,,,0,0,,,,
amplifier.com,sales@amplifier.com,B,3,1,direct,https://amplifier.com/ | https://amplifier.com/contact,">{""legalName"":""Amplifier"",""address"":""8015 Burleson Road\nAustin, TX, 78744\nUnited States"",""email"":""sales@amplifier.com"",""telephone"":""(512)469-0505"",""sameAs"":[""https://www.linkedin.com/company/amplifi","sales@amplifier.com(B,3,direct)"
amplitude.com,security@amplitude.com,A,5,1,direct,https://amplitude.com/.well-known/security.txt,Contact: https://tracker.bugcrowd.com/amplitude Contact: mailto:security@amplitude.com Policy: https://amplitude.com/docs/faq/security-and-privacy Hiring: https://amplitude.com/careers P,"security@amplitude.com(A,5,direct); ccpa@amplitude.com(B,3,direct); legal@amplitude.com(B,3,direct); legalnotices@amplitude.com(B,3,direct); privacy@amplitude.com(B,3,direct); sales@amplitude.com(B,3,direct)"
amt.ai,lyra@amt.ai,B,3,1,direct,https://amt.ai/contact,"ard)""><h3 class=""text-[15px] font-medium mb-1"" style=""color:var(--ink)"">Support</h3><a href=""mailto:lyra@amt.ai"" class=""text-[13px] font-medium transition-colors hover:underline"" style=""color:var(--am","lyra@amt.ai(B,3,direct); support@amt.ai(B,3,direct); tisha@amt.ai(B,3,direct)"
and.com,hello@and.com,B,3,1,direct,https://and.com/ | https://and.com/privacy | https://and.com/terms,"would like to unsubscribe from receiving future emails, you can email us at<!-- --> <a href=""mailto:hello@and.com"" class=""underline"">hello@and.com</a> <!-- -->and we will promptly remove you from ALL ","hello@and.com(B,3,direct)"
andcapitalventures.com,,,0,0,,,,
ando.so,,,0,0,,,,
aneon.at,,,0,0,,,,
animaj.com,,,0,0,,,,
anomalycapital.com,ir@anomalycapital.com,B,3,1,direct,https://www.anomalycapital.com/ | https://www.anomalycapital.com/contact,"xt-block-content><p class=""sqsrte-small"" style=""white-space:pre-wrap;"">Contact Us: <a href=""mailto:IR@anomalycapital.com"">IR@anomalycapital.com</a></p></div> <style id=""container-styles"">#block-63e27b","ir@anomalycapital.com(B,3,direct)"
antbuddy.com,info@antbuddy.com,B,3,1,direct,https://www.antbuddy.com/,"nt-weight:normal;"" class=""wixui-rich-text__text"">&nbsp;<a data-auto-recognition=""true"" href=""mailto:info@antbuddy.com"" class=""wixui-rich-text__text"">info@antbuddy.com</a></span></span></span></span></","info@antbuddy.com(B,3,direct)"
antimetal.com,admin@antimetal.com,B,3,1,direct,https://antimetal.com/privacy,"lity of, or deletion of your personal information. To submit any such request, please contact us at admin@antimetal.com. We will respond to your request in accordance with applicable law.</p><p class=","admin@antimetal.com(B,3,direct); support@antimetal.com(B,3,direct)"
antler.co,,,0,0,,,,
apaleo.com,,,0,0,,,,
aparti.ai,privacy@aparti.ai,B,3,1,direct,https://aparti.ai/privacy,"eset-1eufv6p"" data-styles-preset=""K3Guj1C5n"" dir=""auto""><strong class=""framer-text"">Email:</strong> privacy@aparti.ai<br class=""framer-text""><strong class=""framer-text"">Phone:</strong> (510) 578-8598<","privacy@aparti.ai(B,3,direct); support@aparti.ai(B,3,direct)"
aperture.london,,,0,0,,,,
apicbase.com,,,0,0,,,,
apify.com,security@apify.com,A,5,1,direct,https://apify.com/.well-known/security.txt,Policy: https://docs.apify.com/platform/security#vulnerability-disclosure-policy Contact: mailto:security@apify.com Expires: 2035-01-01T00:00:00.000Z Preferred-Languages: en Canonical: https://apify.c,"security@apify.com(A,5,direct); hello@apify.com(B,3,direct)"
apono.io,,,0,0,,,,
appcues.com,security@appcues.com,A,5,1,direct,https://uploads-ssl.webflow.com/5c7d318eeaea1d6e1198d906/66607060ea22b8560dee5e51_security.txt,Contact: mailto:security@appcues.com Expires: 2025-06-05T04:00:00.000Z Preferred-Languages: en Policy: https://trust.appcues.com/,"security@appcues.com(A,5,direct); legal@appcues.com(B,3,direct); sales@appcues.com(B,3,direct); support@appcues.com(B,3,direct)"
appflow.ai,info@appflow.ai,B,3,1,direct,https://www.appflow.ai/ | https://www.appflow.ai/contact-us,"rowth of in-app subscription revenue."", ""url"": ""https://www.appflow.ai/"", ""email"": ""info@appflow.ai"", ""logo"": { ""@type"": ""ImageObject"", ""url"": ""https://static.appflow.ai/ima","info@appflow.ai(B,3,direct)"
applypass.com,support@applypass.com,B,3,1,direct,https://www.applypass.com/ | https://www.applypass.com/contact-us,"44c8e7fa2fbf%22%2C%22instanceId%22%3A%228d8aeb84-f444-a228-6c54-8a6f00d8178a%22%7D%5D"" href=""mailto:support@applypass.com?subject=New%20Email%20from%20Marketing%20Site"" data-wf-event-ids=""157051322"" c","support@applypass.com(B,3,direct)"
apter.com.br,contato@apter.com.br,B,3,1,direct,https://www.apter.com.br/,"<li><i class=""fa fa-envelope-o""></i><a href=""mailto:contato@apter.com.br"">contato@apter.com.br</a></li> </ul>","contato@apter.com.br(B,3,direct); dpo@apter.com.br(B,3,direct)"
aqmen.ai,,,0,0,,,,
aquion.com.au,,,0,0,,,,
arcade.software,info@arcade.software,B,3,1,direct,https://www.arcade.software/privacy,"rsonal Data we hold about you and if you want it to be removed from our systems, please email us at info@arcade.software.</p><p>In certain circumstances, you have the following data protection rights:","info@arcade.software(B,3,direct); support@arcade.software(B,3,direct)"
archera.ai,info@archera.ai,B,3,1,direct,https://www.archera.ai/contact,"v class=""rt w-richtext""><h3 class=""heading-26"">Contact information</h3><h4>General inquiries</h4><p>info@archera.ai</p><h4>Technical support</h4><p>support@archera.ai</p><h4>Archera headquarters</h4><","info@archera.ai(B,3,direct); support@archera.ai(B,3,direct)"
archilogic.com,partners@archilogic.com,B,3,1,direct,https://www.archilogic.com/contact-us,"rtunities.</p><a class=""mt-2 inline-block font-medium text-brand-deep hover:underline"" href=""mailto:partners@archilogic.com"">partners@archilogic.com</a></li></ul></aside></div></div></section><section","partners@archilogic.com(B,3,direct); places@archilogic.com(B,3,direct); sales@archilogic.com(B,3,direct)"
arcwise.app,,,0,0,,,,
are.na,,,0,0,,,,
arena.com.tr,ir@arena.com.tr,B,3,1,direct,https://www.arena.com.tr/ | https://www.arena.com.tr/contact,"AE6UoOn23IWrc0r33LeS-Enih__E"",""mapAPIKey"":""AIzaSyBmW9kRbKmiGjKKiyv71saI4DiIxmtzmE4"",""contactEmail"":""ir@arena.com.tr"",""cvValidExtension"":""doc,docx,pdf"",""chatbotURL"":""https://www.pencere.com/ChatbotJS.a","ir@arena.com.tr(B,3,direct); musteri.hizmetleri@arena.com.tr(B,3,direct)"
aries.com,,,0,0,,,,
aris.in,,,0,0,,,,
armature.tech,founders@armature.tech,B,3,1,direct,https://armature.tech/ | https://armature.tech/privacy | https://armature.tech/terms,"ps://armature.tech/"", ""logo"": ""https://armature.tech/assets/brand/mark-gradient.svg"", ""email"": ""founders@armature.tech"", ""sameAs"": [ ""https://www.linkedin.com/company/armature-tech/"", ""https://www.yco","founders@armature.tech(B,3,direct)"
aroya.io,support@aroya.io,B,3,1,direct,https://aroya.io/contact-us,"‍<br/>Phone Sales:+1.509.332.5586<br/>Phone Support:+1.509.332.5844<br/><br/>Email: <a href=""mailto:support@aroya.io"" target=""_blank"">support@aroya.io</a></div></div></div></div></div></div></div><div","support@aroya.io(B,3,direct)"
arta.ch,info@arta.ch,B,3,1,direct,https://arta.ch/ | https://arta.ch/contact,"=""text-base md:text-lg Paragraph_paragraph__5XWu2 mt-2 md:mt-4"">Contact général<br/><a href=""mailto:info@arta.ch"">info@arta.ch</a><br/><a href=""tel:021 317 50 50"">021 317 50 50</a></p></div></div><div","info@arta.ch(B,3,direct); lea.machado@arta.ch(B,3,direct); vente@arta.ch(B,3,direct); yuliya.shcharbak@arta.ch(B,3,direct)"
artblocks.io,,,0,0,,,,
artemis.ai,,,0,0,,,,
arternal.com,,,0,0,,,,
articulate.com,security-disclosure@articulate.com,A,5,1,direct,https://www.articulate.com:443/.well-known/security.txt,"wd. # If you believe you've found a security issue and would like to request access, # please email security-disclosure@articulate.com with your: # - Bugcrowd username # - Bugcrowd email address (@bug","security-disclosure@articulate.com(A,5,direct); sales@articulate.com(B,3,direct)"
asana.com,security@asana.com,A,5,1,direct,https://asana.com/.well-known/security.txt,Contact: https://bugcrowd.com/asana Contact: mailto:security@asana.com Expires: 2026-12-31T23:59:59.000Z Acknowledgments: https://bugcrowd.com/engagements/asana/hall_of_f,"security@asana.com(A,5,direct); dispute-notice@asana.com(B,3,direct); dpa@asana.com(B,3,direct); legal@asana.com(B,3,direct); terms-questions@asana.com(B,3,direct); u003edpa@asana.com(B,3,direct)"
ascendancy.co,,,0,0,,,,
