domain,email,tier,score,sources,source_url
aclarian.com,info@aclarian.com,B,3,direct,https://aclarian.com/contact
aclarian.com,support@aclarian.com,B,3,direct,https://aclarian.com/security
adalo.com,support@adalo.com,B,3,direct,https://www.adalo.com/privacy
adaptic.no,mail@adaptic.no,B,3,direct,https://adaptic.no/
admanage.ai,raph@admanage.ai,B,3,direct,https://admanage.ai/privacy
adologyai.com,hello@adologyai.com,B,3,direct,https://adologyai.com/
adopt.ai,info@adopt.ai,B,3,direct,https://www.adopt.ai/
adopt.ai,privacy@adopt.ai,B,3,direct,https://www.adopt.ai/privacy
adplenty.io,contact@adplenty.io,B,3,direct,https://www.adplenty.io/contact
adplenty.io,susan@adplenty.io,B,3,direct,https://www.adplenty.io/
adplist.org,partnerships@adplist.org,B,3,direct,https://adplist.org/
adplist.org,support@adplist.org,B,3,direct,https://adplist.org/
adthena.com,info@adthena.com,B,3,direct,https://www.adthena.com/company/contact-us/
adthena.com,marketing@adthena.com,B,3,direct,https://www.adthena.com/company/contact-us/
adthena.com,media@adthena.com,B,3,direct,https://www.adthena.com/terms-and-conditions/
adthena.com,ninfo@adthena.com,B,3,direct,https://www.adthena.com/company/contact-us/
adthena.com,privacy@adthena.com,B,3,direct,https://www.adthena.com/terms-and-conditions/
adthena.com,support@adthena.com,B,3,direct,https://www.adthena.com/company/contact-us/
adverteyes.ai,info@adverteyes.ai,B,3,direct,https://adverteyes.ai/privacy-cookies/
affinity.co,hr@affinity.co,B,3,direct,https://www.affinity.co/contact-us
affinity.co,info@affinity.co,B,3,direct,https://www.affinity.co/contact-us
affinity.co,marketing@affinity.co,B,3,direct,https://www.affinity.co/contact-us
affinity.co,press@affinity.co,B,3,direct,https://www.affinity.co/contact-us
affinity.co,privacy@affinity.co,B,3,direct,https://www.affinity.co/legal/privacy-policy
affinity.co,sales@affinity.co,B,3,direct,https://www.affinity.co/contact-us
affinity.co,support@affinity.co,B,3,direct,https://www.affinity.co/contact-us
agency.inc,privacy@agency.inc,B,3,direct,https://www.agency.inc/privacy
agenticflow.ai,support@agenticflow.ai,B,3,direct,https://agenticflow.ai/
agicap.com,bugbounty@agicap.com,A,5,direct,https://agicap.com/.well-known/security.txt
agrexai.com,arush@agrexai.com,B,3,direct,https://www.agrexai.com/
agrisafe.agr.br,ola@agrisafe.agr.br,B,3,direct,https://www.agrisafe.agr.br/pt
ahaslides.com,hi@ahaslides.com,B,3,direct,https://ahaslides.com/
ahaslides.com,sales@ahaslides.com,B,3,direct,https://ahaslides.com/contact-us/
airframe.ai,hello@airframe.ai,B,3,direct,https://www.airframe.ai/
airpay.co.in,cards@airpay.co.in,B,3,direct,https://airpay.co.in/contact-us
airpay.co.in,customercare@airpay.co.in,B,3,direct,https://airpay.co.in/contact-us
airpay.co.in,customerservice@airpay.co.in,B,3,direct,https://airpay.co.in/
airpay.co.in,dispute@airpay.co.in,B,3,direct,https://airpay.co.in/
airtable.com,security@airtable.com,A,5,direct,https://airtable.com/.well-known/security.txt
aiseo.ai,support@aiseo.ai,B,3,direct,https://aiseo.ai/
akiflow.com,support@akiflow.com,B,3,direct,https://product.akiflow.com/help/articles/9413118-security
akiflow.com,u003esupport@akiflow.com,B,3,direct,https://product.akiflow.com/help/articles/9413118-security
alamah.om,info@alamah.om,B,3,direct,https://alamah.om/
alchemy.com,security@alchemy.com,A,5,direct,https://www.alchemy.com/security
alchemy.com,media@alchemy.com,B,3,direct,https://www.alchemy.com/
alchemy.com,support@alchemy.com,B,3,direct,https://www.alchemy.com/
alegra.com,info@alegra.com,B,3,direct,https://alegra.com/legal/terminos-y-condiciones/
alegra.com,soporte@alegra.com,B,3,direct,https://alegra.com/
alegra.com,support@alegra.com,B,3,direct,https://alegra.com/
aleluya.com,soporte@aleluya.com,B,3,direct,https://aleluya.com/
algolia.com,billing@algolia.com,B,3,direct,https://www.algolia.com/contact
algolia.com,legal@algolia.com,B,3,direct,https://www.algolia.com/policies/terms
algolia.com,partners@algolia.com,B,3,direct,https://www.algolia.com/contact
allaboard.eu,privacy@allaboard.eu,B,3,direct,https://allaboard.eu/privacy
allaboard.eu,tech@allaboard.eu,B,3,direct,https://allaboard.eu/security.txt
allianceabroad.com,africainfo@allianceabroad.com,B,3,direct,https://allianceabroad.com/contact-us/
alloy.app,security@alloy.app,A,5,direct,https://alloy.app/security
alloy.app,support@alloy.app,B,3,direct,https://alloy.app/legal
alloy.app,u003esupport@alloy.app,B,3,direct,https://alloy.app/legal
allunite.com,aus@allunite.com,B,3,direct,https://allunite.com/
allunite.com,bra@allunite.com,B,3,direct,https://allunite.com/
allunite.com,den@allunite.com,B,3,direct,https://allunite.com/
allunite.com,info@allunite.com,B,3,direct,https://allunite.com/
allunite.com,ita@allunite.com,B,3,direct,https://allunite.com/
allunite.com,kristina.rudoman@allunite.com,B,3,direct,https://allunite.com/contact-us/
allunite.com,rafe@allunite.com,B,3,direct,https://allunite.com/contact-us/
allunite.com,sarai@allunite.com,B,3,direct,https://allunite.com/contact-us/
allunite.com,ukr@allunite.com,B,3,direct,https://allunite.com/
allunite.com,usa@allunite.com,B,3,direct,https://allunite.com/
allunite.com,yvette.marfil@allunite.com,B,3,direct,https://allunite.com/contact-us/
altertable.ai,security@altertable.ai,A,5,direct,https://altertable.ai/.well-known/security.txt
altfndata.com,info@altfndata.com,B,3,direct,https://altfndata.com/
altfndata.com,support@altfndata.com,B,3,direct,https://altfndata.com/
altuspower.com,hello@altuspower.com,B,3,direct,https://www.altuspower.com/contact
amass.tech,hello@amass.tech,B,3,direct,https://amass.tech/contact
amass.tech,support@amass.tech,B,3,direct,https://amass.tech/contact
amityage.com,educatiion@amityage.com,B,3,direct,https://www.amityage.com/contact
amityage.com,education@amityage.com,B,3,direct,https://www.amityage.com/contact
amityage.com,fs@amityage.com,B,3,direct,https://www.amityage.com/contact
amityage.com,hello@amityage.com,B,3,direct,https://www.amityage.com/
amityage.com,info@amityage.com,B,3,direct,https://www.amityage.com/
ammp.io,hello@ammp.io,B,3,direct,https://www.ammp.io/
ammp.io,info@ammp.io,B,3,direct,https://www.ammp.io/privacy
ammp.io,sales@ammp.io,B,3,direct,https://www.ammp.io/contact
amplifier.com,sales@amplifier.com,B,3,direct,https://amplifier.com/
amplitude.com,security@amplitude.com,A,5,direct,https://amplitude.com/.well-known/security.txt
amplitude.com,ccpa@amplitude.com,B,3,direct,https://amplitude.com/privacy
amplitude.com,legal@amplitude.com,B,3,direct,https://amplitude.com/legal
amplitude.com,legalnotices@amplitude.com,B,3,direct,https://amplitude.com/terms
amplitude.com,privacy@amplitude.com,B,3,direct,https://amplitude.com/legal
amplitude.com,sales@amplitude.com,B,3,direct,https://amplitude.com/
amplitude.com,scholarship@amplitude.com,B,3,direct,https://amplitude.com/terms
amplitude.com,subprocessor.notifications@amplitude.com,B,3,direct,https://amplitude.com/security-and-privacy
amplitude.com,support@amplitude.com,B,3,direct,https://amplitude.com/legal
amt.ai,lyra@amt.ai,B,3,direct,https://amt.ai/contact
amt.ai,support@amt.ai,B,3,direct,https://amt.ai/terms
amt.ai,tisha@amt.ai,B,3,direct,https://amt.ai/contact
and.com,hello@and.com,B,3,direct,https://and.com/
anomalycapital.com,ir@anomalycapital.com,B,3,direct,https://www.anomalycapital.com/
antbuddy.com,info@antbuddy.com,B,3,direct,https://www.antbuddy.com/
antimetal.com,admin@antimetal.com,B,3,direct,https://antimetal.com/privacy
antimetal.com,support@antimetal.com,B,3,direct,https://antimetal.com/terms
aparti.ai,privacy@aparti.ai,B,3,direct,https://aparti.ai/privacy
aparti.ai,support@aparti.ai,B,3,direct,https://aparti.ai/terms
apify.com,security@apify.com,A,5,direct,https://apify.com/.well-known/security.txt
apify.com,hello@apify.com,B,3,direct,https://apify.com/contact
appcues.com,security@appcues.com,A,5,direct,https://uploads-ssl.webflow.com/5c7d318eeaea1d6e1198d906/66607060ea22b8560dee5e51_security.txt
appcues.com,legal@appcues.com,B,3,direct,https://www.appcues.com/terms
appcues.com,sales@appcues.com,B,3,direct,https://www.appcues.com/
appcues.com,support@appcues.com,B,3,direct,https://www.appcues.com/
appflow.ai,info@appflow.ai,B,3,direct,https://www.appflow.ai/
applypass.com,support@applypass.com,B,3,direct,https://www.applypass.com/
apter.com.br,contato@apter.com.br,B,3,direct,https://www.apter.com.br/
apter.com.br,dpo@apter.com.br,B,3,direct,https://www.apter.com.br/
arcade.software,info@arcade.software,B,3,direct,https://www.arcade.software/privacy
arcade.software,support@arcade.software,B,3,direct,https://www.arcade.software/security
archera.ai,info@archera.ai,B,3,direct,https://www.archera.ai/contact
archera.ai,support@archera.ai,B,3,direct,https://www.archera.ai/contact
archilogic.com,partners@archilogic.com,B,3,direct,https://www.archilogic.com/contact-us
archilogic.com,places@archilogic.com,B,3,direct,https://www.archilogic.com/contact-us
archilogic.com,sales@archilogic.com,B,3,direct,https://www.archilogic.com/contact-us
arena.com.tr,ir@arena.com.tr,B,3,direct,https://www.arena.com.tr/
arena.com.tr,musteri.hizmetleri@arena.com.tr,B,3,direct,https://www.arena.com.tr/
armature.tech,founders@armature.tech,B,3,direct,https://armature.tech/
aroya.io,support@aroya.io,B,3,direct,https://aroya.io/contact-us
arta.ch,info@arta.ch,B,3,direct,https://arta.ch/
arta.ch,lea.machado@arta.ch,B,3,direct,https://arta.ch/contact
arta.ch,vente@arta.ch,B,3,direct,https://arta.ch/contact
arta.ch,yuliya.shcharbak@arta.ch,B,3,direct,https://arta.ch/contact
articulate.com,security-disclosure@articulate.com,A,5,direct,https://www.articulate.com:443/.well-known/security.txt
articulate.com,sales@articulate.com,B,3,direct,https://access.articulate.com/360/contact-us
asana.com,security@asana.com,A,5,direct,https://asana.com/.well-known/security.txt
asana.com,dispute-notice@asana.com,B,3,direct,https://asana.com/terms
asana.com,dpa@asana.com,B,3,direct,https://asana.com/privacy
asana.com,legal@asana.com,B,3,direct,https://asana.com/terms
asana.com,terms-questions@asana.com,B,3,direct,https://asana.com/terms
asana.com,u003edpa@asana.com,B,3,direct,https://asana.com/privacy
asana.com,x@mail.asana.com,B,3,direct,https://asana.com/
ashbyhq.com,security@ashbyhq.com,A,5,direct,https://www.ashbyhq.com/resources/security
askable.com,viasecurity@askable.com,A,5,direct,https://www.askable.com/legal/privacy-policy
askable.com,legal@askable.com,B,3,direct,https://www.askable.com/legal/terms
askable.com,privacy@askable.com,B,3,direct,https://www.askable.com/legal/privacy-policy
askable.com,support@askable.com,B,3,direct,https://www.askable.com/legal/terms
assembly.com,security@assembly.com,A,5,direct,https://security.assembly.com/
asteroid.ai,founders@asteroid.ai,B,3,direct,https://asteroid.ai/terms/
asteroid.ai,support@asteroid.ai,B,3,direct,https://asteroid.ai/privacy/
athenium.com,info@athenium.com,B,3,direct,https://www.athenium.com/contact/
athenium.com,support@athenium.com,B,3,direct,https://www.athenium.com/contact/
atlan.com,security@atlan.com,A,5,direct,https://atlan.com/.well-known/security.txt
atlaspeople.io,contact@atlaspeople.io,B,3,direct,https://atlaspeople.io/contact
atlaspeople.io,legal@atlaspeople.io,B,3,direct,https://atlaspeople.io/privacy
atlaspeople.io,press@atlaspeople.io,B,3,direct,https://atlaspeople.io/contact
atlaspeople.io,research@atlaspeople.io,B,3,direct,https://atlaspeople.io/contact
atlaspeople.io,support@atlaspeople.io,B,3,direct,https://atlaspeople.io/privacy
atlasx.co,sales@atlasx.co,B,3,direct,https://atlasx.co/
atlasx.co,support@atlasx.co,B,3,direct,https://atlasx.co/
atlasx.co,team@atlasx.co,B,3,direct,https://atlasx.co/
atominvest.co,info@atominvest.co,B,3,direct,https://www.atominvest.co/
attributionapp.com,security@attributionapp.com,A,5,direct,https://www.attributionapp.com/terms
attributionapp.com,privacy@attributionapp.com,B,3,direct,https://www.attributionapp.com/privacy
austintechnology.com.au,careers@austintechnology.com.au,B,3,direct,https://austintechnology.com.au/contact-us/
austintechnology.com.au,sales@austintechnology.com.au,B,3,direct,https://austintechnology.com.au/
austintechnology.com.au,support@austintechnology.com.au,B,3,direct,https://austintechnology.com.au/
austintechnology.com.au,tcareers@austintechnology.com.au,B,3,direct,https://austintechnology.com.au/contact-us/
austintechnology.com.au,tsales@austintechnology.com.au,B,3,direct,https://austintechnology.com.au/contact-us/
austintechnology.com.au,tsupport@austintechnology.com.au,B,3,direct,https://austintechnology.com.au/contact-us/
avertro.com,info@avertro.com,B,3,direct,https://www.avertro.com/
avertro.com,support@avertro.com,B,3,direct,https://www.avertro.com/
avo.app,hi@avo.app,B,3,direct,https://www.avo.app/
avo.app,support@avo.app,B,3,direct,https://www.avo.app/l/terms
avoma.com,security@avoma.com,A,5,direct,https://www.avoma.com/security
avoma.com,help@avoma.com,B,3,direct,https://www.avoma.com/
axify.io,info@axify.io,B,3,direct,https://axify.io/contact
axiom.co,security@axiom.co,A,5,direct,https://axiom.co/security
axiom.co,support@axiom.co,B,3,direct,https://axiom.co/contact
b.capital,info@b.capital,B,3,direct,https://b.capital/contact/
b.capital,ir@b.capital,B,3,direct,https://b.capital/
b.capital,media@b.capital,B,3,direct,https://b.capital/
babyjourney.se,hello@babyjourney.se,B,3,direct,https://babyjourney.se/
backstory.ai,security@backstory.ai,A,5,direct,https://www.backstory.ai/privacy
backstory.ai,askhr@backstory.ai,B,3,direct,https://www.backstory.ai/about-us/contact-us
backstory.ai,media@backstory.ai,B,3,direct,https://www.backstory.ai/about-us/contact-us
backstory.ai,privacy@backstory.ai,B,3,direct,https://www.backstory.ai/privacy
backstory.ai,sales@backstory.ai,B,3,direct,https://www.backstory.ai/about-us/contact-us
backstory.ai,support@backstory.ai,B,3,direct,https://www.backstory.ai/privacy
backyardbrains.com,hello@backyardbrains.com,B,3,direct,https://backyardbrains.com/pages/about
badgermapping.com,dpo@badgermapping.com,B,3,direct,https://www.badgermapping.com/privacy-policy/
badgermapping.com,pr@badgermapping.com,B,3,direct,https://www.badgermapping.com/contact-us
bagel.ai,support@bagel.ai,B,3,direct,https://bagel.ai/
bajajbroking.in,compliance_dp@bajajbroking.in,B,3,direct,https://www.bajajbroking.in/contact-us
bajajbroking.in,compliance_sec@bajajbroking.in,B,3,direct,https://www.bajajbroking.in/contact-us
bajajbroking.in,connect@bajajbroking.in,B,3,direct,https://www.bajajbroking.in/
bajajbroking.in,customerservicehead@bajajbroking.in,B,3,direct,https://www.bajajbroking.in/contact-us
bajajbroking.in,cyber.escalation@bajajbroking.in,B,3,direct,https://www.bajajbroking.in/contact-us
bajajbroking.in,md@bajajbroking.in,B,3,direct,https://www.bajajbroking.in/contact-us
bajajbroking.in,tech.escalation@bajajbroking.in,B,3,direct,https://www.bajajbroking.in/contact-us
basicops.com,contact@basicops.com,B,3,direct,https://www.basicops.com/contact
basicops.com,marketing@basicops.com,B,3,direct,https://www.basicops.com/
baston.com.br,sac@baston.com.br,B,3,direct,https://baston.com.br/
battery.com,compliance@battery.com,B,3,direct,https://www.battery.com/
bdtax.com.bd,info@bdtax.com.bd,B,3,direct,https://bdtax.com.bd/
bdtax.com.bd,support@bdtax.com.bd,B,3,direct,https://bdtax.com.bd/contact-us
beautech.aero,sales@beautech.aero,B,3,direct,https://beautech.aero/
bebakids.com,ada@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,beo@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,big@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,bigfashion@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,bigfashionns@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,bw@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,cacak@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,delta.nis@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,delta22@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,delta23@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,immo@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,indjija@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,knez@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,kragujevac2@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,kraljevo@bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,merkator@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,obrenovac@bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,pozarevac@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,premium@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,sabac@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,smederevo@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,sombor@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,stadion@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,ub@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,usce@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,uzice@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,valjevo@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,vrsac@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,webshop@bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,zemun@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,zlatibor@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
bebakids.com,zmajjova@shops.bebakids.com,B,3,direct,http://www.bebakids.com/
beemdata.com,team@beemdata.com,B,3,direct,https://www.beemdata.com/
begolden.com.pl,biuro@begolden.com.pl,B,3,direct,https://www.begolden.com.pl/
benchmarkminerals.com,office@benchmarkminerals.com,B,3,direct,https://www.benchmarkminerals.com/privacy
benchmarkminerals.com,solufunwa@benchmarkminerals.com,B,3,direct,https://www.benchmarkminerals.com/privacy
betterleap.com,hello@betterleap.com,B,3,direct,https://betterleap.com/
betterleap.com,sales@betterleap.com,B,3,direct,https://betterleap.com/
betterleap.com,support@betterleap.com,B,3,direct,https://betterleap.com/contact
betterstack.com,security@betterstack.com,A,5,direct,https://betterstack.com/security
betterstack.com,hello@betterstack.com,B,3,direct,https://betterstack.com/
bigenius-x.com,cs@bigenius-x.com,B,3,direct,https://www.bigenius-x.com/contact
bigvu.tv,support@bigvu.tv,B,3,direct,https://bigvu.tv/
binderr.com,support@binderr.com,B,3,direct,https://binderr.com/
bitquery.io,sales@bitquery.io,B,3,direct,https://bitquery.io/
bitquery.io,support@bitquery.io,B,3,direct,https://bitquery.io/
bitrise.io,security@bitrise.io,A,5,direct,https://bitrise.io/platform/devops/security
blazesql.com,enterprise@blazesql.com,B,3,direct,https://www.blazesql.com/privacy
blazesql.com,support@blazesql.com,B,3,direct,https://www.blazesql.com/privacy
blockscholes.com,info@blockscholes.com,B,3,direct,https://www.blockscholes.com/
bloomreach.com,securityreporting@bloomreach.com,A,5,direct,https://www.bloomreach.com/security.txt
bloomreach.com,peter.zidek@bloomreach.com,B,3,direct,https://www.bloomreach.com/en
bluente.com,sales@bluente.com,B,3,direct,https://www.bluente.com/
bluente.com,support@bluente.com,B,3,direct,https://www.bluente.com/privacy
bluetriangle.com,info@bluetriangle.com,B,3,direct,https://bluetriangle.com/contact-us
bluetriangle.com,support@bluetriangle.com,B,3,direct,https://bluetriangle.com/
bnicapital.com,contact@bnicapital.com,B,3,direct,https://bnicapital.com/
bonafide.ai,hello@bonafide.ai,B,3,direct,https://bonafide.ai/contact
bonuz.market,security@bonuz.market,A,5,direct,https://bonuz.market/security
bonuz.market,hello@bonuz.market,B,3,direct,https://bonuz.market/contact-us
bonuz.market,partnerships@bonuz.market,B,3,direct,https://bonuz.market/contact-us
bonuz.market,support@bonuz.market,B,3,direct,https://bonuz.market/contact-us
bounceinsights.com,security@bounceinsights.com,A,5,direct,https://bounceinsights.com/.well-known/security.txt
bounceinsights.com,accounts@bounceinsights.com,B,3,direct,https://www.bounceinsights.com/contact
bounceinsights.com,info@bounceinsights.com,B,3,direct,https://www.bounceinsights.com/contact
brale.xyz,security@brale.xyz,A,5,direct,https://brale.xyz/.well-known/security.txt
brandient.com,admin@brandient.com,B,3,direct,https://brandient.com/.well-known/security.txt
breakthroughsales.io,contact@breakthroughsales.io,B,3,direct,https://www.breakthroughsales.io/privacy
breakthroughsales.io,support@breakthroughsales.io,B,3,direct,https://www.breakthroughsales.io/terms
bridgemarketplace.com,support@bridgemarketplace.com,B,3,direct,https://www.bridgemarketplace.com/
brightedge.com,privacy@brightedge.com,B,3,direct,https://www.brightedge.com/privacy
brightidea.com,%20support@brightidea.com,B,3,direct,https://www.brightidea.com/contact/
brightidea.com,data-privacy@brightidea.com,B,3,direct,https://www.brightidea.com/privacy/
brightidea.com,support@brightidea.com,B,3,direct,https://www.brightidea.com/contact/
brightmls.com,support@brightmls.com,B,3,direct,https://brightmls.com/
browserless.io,security@browserless.io,A,5,direct,https://www.browserless.io/trust
browserless.io,support@browserless.io,B,3,direct,https://www.browserless.io/contact
buffer.com,security@buffer.com,A,5,direct,https://buffer.com/legal
buffer.com,copyright@buffer.com,B,3,direct,https://buffer.com/legal
buffer.com,hello@buffer.com,B,3,direct,https://buffer.com/legal
buffer.com,legal@buffer.com,B,3,direct,https://buffer.com/legal
buffer.com,privacy@buffer.com,B,3,direct,https://buffer.com/legal
builderhead.com,sami.kivensalo@builderhead.com,B,3,direct,https://builderhead.com/fi/privacy-policy-2/
builders.studio,hello@builders.studio,B,3,direct,https://builders.studio/contact
buildfire.com,legal@buildfire.com,B,3,direct,https://buildfire.com/terms/
buildfire.com,support@buildfire.com,B,3,direct,https://buildfire.com/terms/
buildkite.com,security@buildkite.com,A,5,direct,https://buildkite.com/about/security/
buildkite.com,trust@buildkite.com,B,3,direct,https://buildkite.com/about/security/
bzigo.com,support@bzigo.com,B,3,direct,https://bzigo.com/
c3biz.com,info@c3biz.com,B,3,direct,https://www.c3biz.com/privacy-statement/
cabsin.org.br,admin@cabsin.org.br,B,3,direct,https://cabsin.org.br/.well-known/security.txt
caffeine.ai,security@caffeine.ai,A,5,direct,https://caffeine.ai/.well-known/security.txt
caisgroup.com,compliance@caisgroup.com,B,3,direct,https://www.caisgroup.com/legal/privacy-policy
caisgroup.com,privacypolicy@caisgroup.com,B,3,direct,https://www.caisgroup.com/legal/privacy-policy
cal.com,dmca@cal.com,B,3,direct,https://cal.com/terms
cal.com,legal+eu@cal.com,B,3,direct,https://cal.com/privacy
cal.com,legal@cal.com,B,3,direct,https://cal.com/privacy
cal.com,privacy@cal.com,B,3,direct,https://cal.com/privacy
cal.com,support@cal.com,B,3,direct,https://cal.com/contact
calendly.com,security@calendly.com,A,5,direct,https://calendly.com/.well-known/security.txt
calendly.com,eurep@calendly.com,B,3,direct,https://calendly.com/legal/privacy-notice
calendly.com,legal@calendly.com,B,3,direct,https://calendly.com/legal
calendly.com,marketing@calendly.com,B,3,direct,https://calendly.com/legal/customer-terms-conditions
calendly.com,privacy@calendly.com,B,3,direct,https://calendly.com/legal/privacy-notice
calendly.com,support@calendly.com,B,3,direct,https://calendly.com/legal/customer-terms-conditions
calendly.com,ukrep@calendly.com,B,3,direct,https://calendly.com/legal/privacy-notice
campaignswell.com,info@campaignswell.com,B,3,direct,https://www.campaignswell.com/
campaignswell.com,support@campaignswell.com,B,3,direct,https://www.campaignswell.com/privacy
camsbiometrics.com,sales@camsbiometrics.com,B,3,direct,https://camsbiometrics.com/
camsbiometrics.com,support@camsbiometrics.com,B,3,direct,https://camsbiometrics.com/
candid.org,support@candid.org,B,3,direct,https://candid.org/
candid.org,u003esupport@candid.org,B,3,direct,https://candid.org/
capsule.video,legal@capsule.video,B,3,direct,https://capsule.video/privacy
carriyo.com,info@carriyo.com,B,3,direct,https://carriyo.com/terms
carriyo.com,privacy@carriyo.com,B,3,direct,https://carriyo.com/privacy
carriyo.com,support@carriyo.com,B,3,direct,https://carriyo.com/security
cashfree.com,care@cashfree.com,B,3,direct,https://www.cashfree.com:443/
cashfree.com,documentation@cashfree.com,B,3,direct,https://www.cashfree.com:443/docs/help/overview
cashfree.com,rahulsharma@cashfree.com,B,3,direct,https://www.cashfree.com:443/contact-us
catsy.com,support@catsy.com,B,3,direct,https://catsy.com/
cbinsights.com,cancellations@cbinsights.com,B,3,direct,https://www.cbinsights.com/legal
cbinsights.com,info@cbinsights.com,B,3,direct,https://www.cbinsights.com/contact-us/
ceramic.ai,info@ceramic.ai,B,3,direct,https://www.ceramic.ai/contact
ceramic.ai,sales@ceramic.ai,B,3,direct,https://www.ceramic.ai/
ceramic.ai,support@ceramic.ai,B,3,direct,https://www.ceramic.ai/contact
chainels.com,help@chainels.com,B,3,direct,https://chainels.com/.well-known/security.txt
changdobels.se,danderyd@changdobels.se,B,3,direct,https://changdobels.se/
changdobels.se,gardet@changdobels.se,B,3,direct,https://changdobels.se/
changdobels.se,hundiversum@changdobels.se,B,3,direct,https://changdobels.se/
changdobels.se,stureparken@changdobels.se,B,3,direct,https://changdobels.se/
changdobels.se,taby@changdobels.se,B,3,direct,https://changdobels.se/
changdobels.se,vallentuna@changdobels.se,B,3,direct,https://changdobels.se/
