Domain,Contact,Rewards,Amount,Platform,Private/Public
megaport.com,vulnerability.disclosure@megaport.com,No,,,
meisterlabs.com,security@meisterlabs.com,No,,,
meistertask.com,security@meisterlabs.com,No,,,
mindmeister.com,security@meisterlabs.com,No,,,
mittwald.de,security@mittwald.de,No,,,
mux.com,security page,No,,,
n3xt.io,form,No,,,
notion.com,disclosure page,No,,,
omnidim.io,security@omnidim.io,No,,,
onepeloton.com,secure@onepeloton.com,No,,,
onlyoffice.com,security@onlyoffice.com,No,,,
orderful.com,security@orderful.com,No,,,
outlit.ai,security@outlit.ai,No,,,
padlet.com,hello@padlet.com,No,,,
pipe17.com,security@pipe17.com,No,,,
plaud.ai,security@plaud.ai,No,,,
predictiveindex.com,disclosure page,No,,,
prisma.io,security@prisma.io,No,,,
prismatic.io,security@prismatic.io,No,,,
privacy.com,vdp@privacy.com,No,,,
propper.ai,security@propper.ai,No,,,
questionpro.com,vulnerability@questionpro.com,No,,,
ramp.com,security-external@ramp.com,No,,,
razorpay.com,disclosures@razorpay.com,No,,,
redbuttonedu.cz,security@solidpixels.com,No,,,
rootly.com,security@rootly.com,No,,,
rye.com,security@rye.com,No,,,
safetyculture.com,security@safetyculture.com,No,,,
salesmanago.com,security-team@manago.ai,No,,,
sanity.io,security@sanity.io,No,,,
searchatlas.com,security@searchatlas.com,No,,,
sendsquared.com,hello@sendsquared.com,No,,,
seqera.io,security@seqera.io,No,,,
socialchamp.com,hello@socialchamp.com,No,,,
socket.dev,security@socket.dev,No,,,
sodagift.com,it.admin@sodacrew.com,No,,,
stacklist.com,help@stacklist.com,No,,,
stormrecruit.com,abuse@landingsite.ai,No,,,
straddle.com,support@straddle.com,No,,,
supermetrics.com,security@supermetrics.com,No,,,
tailorhq.ai,security@tailorhq.ai,No,,,
tallyfy.com,contact form,No,,,
talproindia.com,security@talproindia.com,No,,,
timesheet.io,office@timesheet.io,No,,,
tiro.ooo,partners@theplato.io,No,,,
tradier.com,policy page,No,,,
tripletex.no,security@visma.com,No,,,
tryprofound.com,security@tryprofound.com,No,,,
tryscott.ai,security@tryscott.ai,No,,,
tweakwise.com,secops@optimizers.com,No,,,
upsun.com,security@upsun.com,No,,,
vacationtracker.io,security@vacationtracker.io,No,,,
vanta.com,security@vanta.com,No,,,
vblh.de,security-contact@atruvia.de,No,,,
vetster.com,security@vetster.com,No,,,
viasocket.com,support@viasocket.com,No,,,
vrnu.de,security-contact@atruvia.de,No,,,
vvr-bank.de,security-contact@atruvia.de,No,,,
web.de,report@bugbounty.web.de,No,,,
whisper.security,security@whisper.security,No,,,
writesonic.com,security@writesonic.com,No,,,
wrld.tech,support@wrld.host,No,,,
zaslat.cz,admin@zaslat.cz,No,,,
